rank,thr,socket,uc_ct,uc_pt,uc_tt,omc_ct,omc_pt,omc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,omc_ce,omc_pe,omc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,2857.082521,2849.491367,2849.491367,2857.082521,2849.491367,2849.491367,3130.083497,3123.753137,3123.753137,3123.753137,974780.762939,972467.123657,972467.123657,974780.762939,972467.123657,972467.123657,14527.240784,14527.240784,14527.240784,1063102.685120
1,0,0,2857.082521,2848.869812,2848.869812,2857.082521,2848.869812,2848.869812,3130.083457,3124.062904,3124.062904,3124.062904,974780.762939,972261.551025,972261.551025,974780.762939,972261.551025,972261.551025,14634.004883,14634.004883,14634.004883,1063203.138306
2,0,1,2857.082521,2849.705765,2849.705765,2857.082521,2849.705765,2849.705765,3130.082998,3125.354782,3125.354782,3125.354782,974780.762939,972658.858765,972658.858765,974780.762939,972658.858765,972658.858765,15086.744507,15086.744507,15086.744507,1063654.650879
3,0,1,2857.082521,2849.587596,2849.587596,2857.082521,2849.587596,2849.587596,3130.083385,3124.606491,3124.606491,3124.606491,974780.762939,972705.239136,972705.239136,974780.762939,972705.239136,972705.239136,14825.987244,14825.987244,14825.987244,1063393.456787
4,0,0,2857.082521,2851.403741,2851.403741,2857.082521,2851.403741,2851.403741,3130.083434,3123.776986,3123.776986,3123.776986,974780.762939,973167.264709,973167.264709,974780.762939,973167.264709,973167.264709,14535.107788,14535.107788,14535.107788,1063102.685120
5,0,0,2857.082521,2848.749810,2848.749810,2857.082521,2848.749810,2848.749810,3130.082740,3130.082740,3130.082740,3130.082740,974780.762939,972268.972717,972268.972717,974780.762939,972268.972717,972268.972717,16727.568848,16727.568848,16727.568848,1065303.109558
6,0,1,2857.082521,2850.076049,2850.076049,2857.082521,2850.076049,2850.076049,3130.083401,3125.465340,3125.465340,3125.465340,974780.762939,972788.808411,972788.808411,974780.762939,972788.808411,972788.808411,15125.298279,15125.298279,15125.298279,1063692.871216
7,0,1,2857.082521,2849.660161,2849.660161,2857.082521,2849.660161,2849.660161,3130.083089,3124.702320,3124.702320,3124.702320,974780.762939,972661.967896,972661.967896,974780.762939,972661.967896,972661.967896,14859.542297,14859.542297,14859.542297,1063426.732300
8,0,0,2857.082521,2848.884434,2848.884434,2857.082521,2848.884434,2848.884434,3130.083494,3123.819203,3123.819203,3123.819203,974780.762939,972245.335632,972245.335632,974780.762939,972245.335632,972245.335632,14548.971619,14548.971619,14548.971619,1063116.771667
9,0,0,2857.082521,2849.082834,2849.082834,2857.082521,2849.082834,2849.082834,3130.083403,3124.118760,3124.118760,3124.118760,974780.762939,972330.303528,972330.303528,974780.762939,972330.303528,972330.303528,14654.261719,14654.261719,14654.261719,1063221.927612
10,0,1,2857.082521,2849.637204,2849.637204,2857.082521,2849.637204,2849.637204,3130.082760,3125.309436,3125.309436,3125.309436,974780.762939,972659.280762,972659.280762,974780.762939,972659.280762,972659.280762,15071.472656,15071.472656,15071.472656,1063638.788818
11,0,1,2857.082521,2849.573430,2849.573430,2857.082521,2849.573430,2849.573430,3130.082937,3124.663735,3124.663735,3124.663735,974780.762939,972531.166260,972531.166260,974780.762939,972531.166260,972531.166260,14845.772400,14845.772400,14845.772400,1063413.538452
12,0,0,2857.082521,2848.989759,2848.989759,2857.082521,2848.989759,2848.989759,3130.082930,3123.774820,3123.774820,3123.774820,974780.762939,972303.176941,972303.176941,974780.762939,972303.176941,972303.176941,14534.351196,14534.351196,14534.351196,1063102.018738
13,0,0,2857.082521,2848.912029,2848.912029,2857.082521,2848.912029,2848.912029,3130.083283,3123.857078,3123.857078,3123.857078,974780.762939,972327.471008,972327.471008,974780.762939,972327.471008,972327.471008,14561.660461,14561.660461,14561.660461,1063129.771240
14,0,1,2857.082521,2849.687950,2849.687950,2857.082521,2849.687950,2849.687950,3130.083061,3125.317246,3125.317246,3125.317246,974780.762939,972591.955688,972591.955688,974780.762939,972591.955688,972591.955688,15073.569519,15073.569519,15073.569519,1063641.523743
15,0,1,2857.082521,2849.654214,2849.654214,2857.082521,2849.654214,2849.654214,3130.083192,3125.042437,3125.042437,3125.042437,974780.762939,972624.235901,972624.235901,974780.762939,972624.235901,972624.235901,14978.054871,14978.054871,14978.054871,1063545.841492
16,0,0,2857.082521,2849.064995,2849.064995,2857.082521,2849.064995,2849.064995,3130.083495,3123.864068,3123.864068,3123.864068,974780.762939,972288.108154,972288.108154,974780.762939,972288.108154,972288.108154,14564.256226,14564.256226,14564.256226,1063132.385071
17,0,0,2857.082521,2848.650984,2848.650984,2857.082521,2848.650984,2848.650984,3130.083262,3124.005790,3124.005790,3124.005790,974780.762939,972247.226074,972247.226074,974780.762939,972247.226074,972247.226074,14614.144531,14614.144531,14614.144531,1063185.060608
18,0,1,2857.082521,2849.677758,2849.677758,2857.082521,2849.677758,2849.677758,3130.083330,3124.949449,3124.949449,3124.949449,974780.762939,972605.915588,972605.915588,974780.762939,972605.915588,972605.915588,14945.922302,14945.922302,14945.922302,1063513.696045
19,0,1,2857.082521,2849.410001,2849.410001,2857.082521,2849.410001,2849.410001,3130.083361,3125.114769,3125.114769,3125.114769,974780.762939,972527.536194,972527.536194,974780.762939,972527.536194,972527.536194,15003.400574,15003.400574,15003.400574,1063571.226990
20,0,0,2857.082521,2849.061377,2849.061377,2857.082521,2849.061377,2849.061377,3130.082906,3123.804287,3123.804287,3123.804287,974780.762939,972358.179321,972358.179321,974780.762939,972358.179321,972358.179321,14543.938782,14543.938782,14543.938782,1063112.140320
21,0,0,2857.082521,2848.824717,2848.824717,2857.082521,2848.824717,2848.824717,3130.083022,3124.133702,3124.133702,3124.133702,974780.762939,972237.064697,972237.064697,974780.762939,972237.064697,972237.064697,14659.607849,14659.607849,14659.607849,1063227.221252
22,0,1,2857.082521,2849.685284,2849.685284,2857.082521,2849.685284,2849.685284,3130.083297,3125.333984,3125.333984,3125.333984,974780.762939,972694.794434,972694.794434,974780.762939,972694.794434,972694.794434,15079.858154,15079.858154,15079.858154,1063647.780457
23,0,1,2857.082521,2849.867803,2849.867803,2857.082521,2849.867803,2849.867803,3130.083183,3125.123787,3125.123787,3125.123787,974780.762939,972743.721558,972743.721558,974780.762939,972743.721558,972743.721558,15006.540894,15006.540894,15006.540894,1063574.011780
24,0,0,2857.082521,2848.911623,2848.911623,2857.082521,2848.911623,2848.911623,3130.083197,3123.758379,3123.758379,3123.758379,974780.762939,972245.074036,972245.074036,974780.762939,972245.074036,972245.074036,14528.747192,14528.747192,14528.747192,1063096.777893
25,0,0,2857.082521,2848.688664,2848.688664,2857.082521,2848.688664,2848.688664,3130.083029,3124.097470,3124.097470,3124.097470,974780.762939,972265.716736,972265.716736,974780.762939,972265.716736,972265.716736,14646.563110,14646.563110,14646.563110,1063214.159180
26,0,1,2857.082521,2849.650087,2849.650087,2857.082521,2849.650087,2849.650087,3130.083377,3125.091286,3125.091286,3125.091286,974780.762939,972606.087158,972606.087158,974780.762939,972606.087158,972606.087158,14995.226990,14995.226990,14995.226990,1063562.980774
27,0,1,2857.082521,2849.508926,2849.508926,2857.082521,2849.508926,2849.508926,3130.083003,3124.935081,3124.935081,3124.935081,974780.762939,972511.007812,972511.007812,974780.762939,972511.007812,972511.007812,14941.044922,14941.044922,14941.044922,1063508.297241
28,0,0,2857.082521,2849.019380,2849.019380,2857.082521,2849.019380,2849.019380,3130.083187,3123.161437,3123.161437,3123.161437,974780.762939,972266.423340,972266.423340,974780.762939,972266.423340,972266.423340,14328.148682,14328.148682,14328.148682,1062895.938843
