rank,thr,socket,uc_ct,uc_pt,uc_tt,omc_ct,omc_pt,omc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,omc_ce,omc_pe,omc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,1508.951158,1451.861213,1451.861213,1508.951158,1451.861213,1451.861213,1871.198128,1830.628509,1830.628509,1830.628509,158602.998779,150305.125122,150305.125122,158602.998779,150305.125122,150305.125122,200057.057495,200057.057495,200057.057495,200056.946716
1,0,0,1508.951158,1452.460310,1452.460310,1508.951158,1452.460310,1452.460310,1871.199320,1823.883502,1823.883502,1823.883502,158602.998779,151002.216248,151002.216248,158602.998779,151002.216248,151002.216248,199155.399475,199155.399475,199155.399475,199154.147888
2,0,0,1508.951158,1453.072491,1453.072491,1508.951158,1453.072491,1453.072491,1871.197274,1829.918618,1829.918618,1829.918618,158602.998779,151051.371094,151051.371094,158602.998779,151051.371094,151051.371094,199963.888733,199963.888733,199963.888733,199961.052612
3,0,0,1508.951158,1451.295660,1451.295660,1508.951158,1451.295660,1451.295660,1871.196473,1830.579652,1830.579652,1830.579652,158602.998779,151042.805237,151042.805237,158602.998779,151042.805237,151042.805237,200050.514648,200050.514648,200050.514648,200048.737854
4,0,1,1508.951158,1454.422957,1454.422957,1508.951158,1454.422957,1454.422957,1871.199398,1835.540087,1835.540087,1835.540087,158602.998779,151134.692749,151134.692749,158602.998779,151134.692749,151134.692749,200704.164856,200704.164856,200704.164856,200702.065674
5,0,1,1508.951158,1454.406102,1454.406102,1508.951158,1454.406102,1454.406102,1871.198848,1835.732393,1835.732393,1835.732393,158602.998779,151161.722839,151161.722839,158602.998779,151161.722839,151161.722839,200729.258911,200729.258911,200729.258911,200727.315552
6,0,1,1508.951158,1455.955185,1455.955185,1508.951158,1455.955185,1455.955185,1871.199323,1837.016473,1837.016473,1837.016473,158602.998779,150919.436951,150919.436951,158602.998779,150919.436951,150919.436951,200897.573486,200897.573486,200897.573486,200895.926758
7,0,1,1508.951158,1453.649566,1453.649566,1508.951158,1453.649566,1453.649566,1871.194922,1836.947112,1836.947112,1836.947112,158602.998779,151178.984741,151178.984741,158602.998779,151178.984741,151178.984741,200888.441833,200888.441833,200888.441833,200886.673401
8,0,0,1508.951158,1453.467342,1453.467342,1508.951158,1453.467342,1453.467342,1871.199310,1829.632809,1829.632809,1829.632809,158602.998779,150472.184265,150472.184265,158602.998779,150472.184265,150472.184265,199925.689087,199925.689087,199925.689087,199923.789612
9,0,0,1508.951158,1450.516965,1450.516965,1508.951158,1450.516965,1450.516965,1871.199414,1829.921545,1829.921545,1829.921545,158602.998779,150874.909363,150874.909363,158602.998779,150874.909363,150874.909363,199964.216064,199964.216064,199964.216064,199962.467468
10,0,0,1508.951158,1452.628424,1452.628424,1508.951158,1452.628424,1452.628424,1871.199136,1829.957335,1829.957335,1829.957335,158602.998779,150987.097839,150987.097839,158602.998779,150987.097839,150987.097839,199968.885620,199968.885620,199968.885620,199965.524780
11,0,0,1508.951158,1452.202645,1452.202645,1508.951158,1452.202645,1452.202645,1871.197550,1830.802900,1830.802900,1830.802900,158602.998779,151098.401001,151098.401001,158602.998779,151098.401001,151098.401001,200080.663391,200080.663391,200080.663391,200078.800964
12,0,1,1508.951158,1453.914687,1453.914687,1508.951158,1453.914687,1453.914687,1871.195967,1871.195967,1871.195967,1871.195967,158602.998779,151005.069275,151005.069275,158602.998779,151005.069275,151005.069275,205338.887268,205338.887268,205338.887268,205338.887268
