rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,3.78974,3.74353,3.7178,3.92726,3.91678,3.89105,3.96203,1347.62,1333.8,1331.57,1399.08,1389.32,1387.08,1415.09
6.71
5,3,3.78675,3.66268,3.52209,3.92677,3.91261,3.52209,3.96591,1347.02,1305.17,1261.18,1398.94,1383.71,1261.18,1416.71
18,0,3.78974,3.71945,3.6781,3.92726,3.9202,3.87885,3.96561,1347.62,1324.58,1318.37,1399.08,1388.42,1382.21,1416.71
15,3,3.78921,3.67023,3.54053,3.92641,3.91655,3.54053,3.9661,1347.62,1311.06,1273.35,1401.64,1386.53,1273.35,1416.71
9,3,3.78665,3.68979,3.54791,3.92678,3.91945,3.54791,3.96547,1346.99,1314.13,1270.83,1399.08,1389.35,1270.83,1416.71
17,3,3.7892,3.63857,3.49276,3.92681,3.92006,3.49276,3.96634,1347.62,1295.63,1252.44,1399.35,1388.8,1252.44,1416.71
8,3,3.78645,3.60573,3.47472,3.92642,3.91955,3.47472,3.96537,1347.39,1281.88,1244.33,1400.32,1384.54,1244.33,1416.71
11,1,3.78672,3.6012,3.47291,3.92643,3.91951,3.47291,3.96541,1346.99,1284.57,1245.23,1399.08,1392.51,1245.23,1416.71
10,0,3.78974,3.6515,3.60828,3.92726,3.91972,3.8765,3.96565,1347.62,1305.85,1294.51,1399.08,1394.2,1382.87,1416.71
22,3,3.78659,3.69735,3.56035,3.92659,3.89301,3.56035,3.96557,1347.02,1318.21,1281.25,1399.48,1382.71,1281.25,1416.71
6,3,3.78914,3.69224,3.55019,3.92616,3.91074,3.55019,3.96535,1347.28,1314.14,1275.44,1400.44,1387.2,1275.44,1416.71
20,3,3.78685,3.68959,3.55747,3.92649,3.91134,3.55747,3.96533,1346.99,1313.11,1273.69,1399.08,1385.64,1273.69,1416.71
13,3,3.78655,3.65803,3.51772,3.92651,3.89938,3.51772,3.96552,1347.39,1308.32,1263.65,1400.76,1389.65,1263.65,1416.71
4,3,3.78667,3.64923,3.4979,3.92657,3.9123,3.4979,3.96604,1347.02,1298.92,1256.75,1398.94,1383.22,1256.75,1416.71
3,0,3.78974,3.67321,3.61523,3.92726,3.92099,3.863,3.96604,1347.62,1307.34,1296.96,1399.08,1388.76,1378.39,1416.71
14,3,3.78649,3.61528,3.48563,3.92597,3.91089,3.48563,3.96506,1347.49,1290.22,1251,1399.57,1386.36,1251,1416.71
21,1,3.78675,3.69311,3.56171,3.92695,3.91354,3.56171,3.96581,1347.02,1314.08,1274.23,1399.48,1386.53,1274.23,1416.71
7,2,3.78927,3.66156,3.54384,3.92681,3.91164,3.54384,3.96624,1347.62,1304.6,1266.5,1400.32,1383.27,1266.5,1416.71
19,0,3.78974,3.69796,3.63866,3.92726,3.9184,3.8591,3.96544,1347.62,1314.65,1299.2,1399.08,1388.6,1373.14,1416.71
18,1,3.78682,3.71927,3.5917,3.92683,3.92001,3.5917,3.96561,1346.99,1324.58,1283.48,1399.08,1388.42,1283.48,1416.71
11,2,3.78672,3.6012,3.48864,3.92643,3.91951,3.48864,3.96541,1346.99,1284.57,1252.5,1399.08,1392.51,1252.5,1416.71
10,1,3.78675,3.65133,3.53329,3.9268,3.91955,3.53329,3.96565,1346.99,1305.85,1267.47,1399.08,1394.2,1267.47,1416.71
18,2,3.78682,3.71927,3.56161,3.92683,3.92001,3.56161,3.96561,1346.99,1324.58,1274.93,1399.08,1388.42,1274.93,1416.71
3,1,3.78667,3.67302,3.52911,3.92705,3.9208,3.52911,3.96604,1347.02,1307.34,1265.37,1400.07,1388.76,1265.37,1416.71
19,1,3.78678,3.69777,3.57099,3.92659,3.91821,3.57099,3.96544,1346.99,1314.65,1272.39,1399.08,1388.6,1272.39,1416.71
21,2,3.78675,3.69312,3.52486,3.92696,3.91355,3.52486,3.96581,1347.02,1314.08,1260.85,1399.48,1386.53,1260.85,1416.71
7,3,3.78927,3.66156,3.54695,3.92681,3.91164,3.54695,3.96624,1347.62,1304.6,1267.55,1400.32,1383.27,1267.55,1416.71
11,3,3.78672,3.60121,3.48059,3.92644,3.91952,3.48059,3.96541,1346.99,1284.57,1252.64,1399.08,1392.51,1252.64,1416.71
0,1,3.78954,3.74333,3.57611,3.92703,3.91658,3.57611,3.96203,1347.62,1333.8,1283.17,1399.88,1389.32,1283.17,1415.09
10,2,3.78676,3.65134,3.5147,3.9268,3.91955,3.5147,3.96565,1346.99,1305.85,1260.41,1399.08,1394.2,1260.41,1416.71
18,3,3.78682,3.71926,3.58482,3.92683,3.92001,3.58482,3.96561,1346.99,1324.58,1280.75,1399.08,1388.42,1280.75,1416.71
3,2,3.78667,3.67302,3.54397,3.92705,3.9208,3.54397,3.96604,1346.69,1307,1273.36,1399.73,1388.43,1273.36,1416.71
19,2,3.78678,3.69777,3.56959,3.92659,3.91821,3.56959,3.96544,1346.99,1314.65,1275.12,1399.08,1388.6,1275.12,1416.71
21,3,3.78675,3.69311,3.56217,3.92695,3.91354,3.56217,3.96581,1347.02,1314.08,1277.71,1399.48,1386.53,1277.71,1416.71
0,2,3.78954,3.74333,3.56617,3.92703,3.91658,3.56617,3.96203,1347.62,1333.8,1281.37,1399.88,1389.32,1281.37,1415.09
10,3,3.78675,3.65133,3.52518,3.9268,3.91954,3.52518,3.96565,1346.99,1305.85,1264.23,1399.08,1394.2,1264.23,1416.71
3,3,3.78667,3.67303,3.54596,3.92705,3.9208,3.54596,3.96604,1346.69,1307,1273.67,1399.73,1388.43,1273.67,1416.71
19,3,3.78678,3.69777,3.58262,3.92659,3.91821,3.58262,3.96544,1346.99,1314.65,1279.82,1399.08,1388.6,1279.82,1416.71
0,3,3.78954,3.74333,3.57237,3.92704,3.91658,3.57237,3.96203,1347.62,1333.8,1285.11,1399.88,1389.32,1285.11,1415.09
