nodes,taskspernode,threadspertask,cpufreq,slurm_job_id,cnt,tpe,tlb,tce,tse,tte,tmpe,tmlb,tmce,tmse,tmte,tope,tolb,toce,tose,tote,epe,elb,ece,ese,ete,empe,emlb,emce,emse,emte,eope,eolb,eoce,eose,eote,total_time
1,8,12,1000000,60736198,1,0.169,0.729,0.232,0.701,0.331,0.663,0.781,0.848,0.868,0.978,0.255,0.934,0.273,0.808,0.338,0.359,0.768,0.467,0.786,0.594,0.622,0.78,0.797,0.804,0.992,0.577,0.985,0.586,0.978,0.599,128.274
1,8,12,1500000,60736199,1,0.157,0.839,0.187,0.666,0.281,0.781,0.899,0.869,0.888,0.979,0.201,0.934,0.215,0.75,0.287,0.382,0.883,0.433,0.77,0.561,0.716,0.887,0.807,0.8,1.009,0.534,0.996,0.536,0.964,0.556,104.093
1,8,12,2000000,60736200,1,0.15,0.752,0.199,0.713,0.28,0.732,0.805,0.91,0.937,0.971,0.205,0.934,0.219,0.761,0.288,0.397,0.761,0.521,0.866,0.602,0.659,0.764,0.863,0.923,0.935,0.602,0.997,0.604,0.938,0.644,94.318
1,8,12,2500000,60736201,1,0.195,0.849,0.23,0.701,0.328,0.753,0.898,0.839,0.853,0.983,0.259,0.945,0.274,0.822,0.334,0.46,0.835,0.551,0.819,0.673,0.717,0.843,0.851,0.829,1.026,0.641,0.991,0.647,0.987,0.656,50.529
1,8,12,3000000,60736202,1,0.195,0.821,0.237,0.727,0.326,0.748,0.866,0.864,0.875,0.987,0.26,0.949,0.274,0.831,0.33,0.435,0.833,0.522,0.82,0.636,0.719,0.834,0.862,0.844,1.021,0.604,0.999,0.605,0.972,0.623,47.236
1,8,12,3500000,60736203,1,0.16,0.738,0.217,0.751,0.288,0.72,0.782,0.921,0.941,0.979,0.222,0.944,0.235,0.799,0.295,0.401,0.718,0.559,0.906,0.616,0.608,0.719,0.845,0.924,0.914,0.66,0.999,0.661,0.981,0.674,61.112
1,8,12,3800000,60736204,1,0.199,0.796,0.25,0.691,0.362,0.685,0.838,0.818,0.83,0.985,0.291,0.95,0.306,0.833,0.367,0.41,0.804,0.509,0.766,0.665,0.649,0.806,0.805,0.801,1.005,0.632,0.999,0.633,0.955,0.662,46.262
1,12,8,1000000,60736191,1,0.319,0.453,0.704,0.932,0.755,0.469,0.568,0.826,0.952,0.867,0.68,0.798,0.852,0.979,0.871,0.43,0.496,0.867,1.001,0.866,0.537,0.595,0.903,1.007,0.897,0.801,0.834,0.96,0.994,0.965,871.032
1,12,8,1500000,60736192,1,0.321,0.462,0.694,0.925,0.75,0.478,0.585,0.817,0.947,0.863,0.671,0.79,0.849,0.977,0.869,0.433,0.505,0.857,0.996,0.86,0.539,0.614,0.878,1.003,0.875,0.803,0.822,0.976,0.993,0.983,739.863
1,12,8,2000000,60736193,1,0.321,0.477,0.673,0.911,0.739,0.486,0.609,0.798,0.936,0.853,0.661,0.783,0.844,0.974,0.867,0.437,0.514,0.85,0.997,0.853,0.54,0.63,0.858,1.004,0.854,0.808,0.816,0.991,0.992,0.998,633.158
1,12,8,2500000,60736194,1,0.328,0.435,0.753,0.934,0.806,0.475,0.558,0.851,0.961,0.886,0.691,0.78,0.885,0.973,0.91,0.416,0.479,0.868,0.978,0.888,0.525,0.591,0.888,0.992,0.895,0.793,0.81,0.978,0.986,0.992,493.111
1,12,8,3000000,60736195,1,0.33,0.443,0.745,0.931,0.8,0.485,0.571,0.848,0.959,0.884,0.681,0.776,0.878,0.971,0.905,0.42,0.488,0.861,0.975,0.883,0.529,0.605,0.873,0.988,0.884,0.794,0.806,0.986,0.987,0.999,449.929
1,12,8,3500000,60736196,1,0.338,0.442,0.766,0.934,0.82,0.487,0.566,0.86,0.962,0.894,0.694,0.78,0.891,0.971,0.918,0.419,0.477,0.879,0.982,0.895,0.517,0.591,0.876,0.991,0.884,0.811,0.807,1.004,0.991,1.013,459.294
1,12,8,3800000,60736197,1,0.339,0.442,0.767,0.932,0.823,0.487,0.568,0.857,0.96,0.892,0.697,0.779,0.895,0.971,0.922,0.416,0.474,0.877,0.982,0.892,0.519,0.588,0.883,0.991,0.891,0.8,0.806,0.993,0.991,1.001,463.22
1,16,6,1000000,60736184,1,0.08,0.852,0.094,0.79,0.119,0.815,0.915,0.891,0.909,0.98,0.098,0.931,0.105,0.869,0.121,0.445,0.907,0.49,0.872,0.562,0.824,0.921,0.894,0.927,0.964,0.54,0.985,0.548,0.941,0.583,172.803
1,16,6,1500000,60736185,1,0.08,0.873,0.092,0.768,0.12,0.83,0.945,0.879,0.9,0.976,0.096,0.924,0.104,0.853,0.122,0.488,0.93,0.525,0.879,0.597,0.837,0.931,0.898,0.945,0.951,0.584,0.998,0.585,0.931,0.628,130.809
1,16,6,2000000,60736186,1,0.074,0.836,0.089,0.754,0.118,0.768,0.907,0.847,0.869,0.975,0.097,0.922,0.105,0.868,0.121,0.404,0.904,0.447,0.806,0.555,0.822,0.903,0.91,0.865,1.052,0.491,1.001,0.491,0.931,0.527,119.468
1,16,6,2500000,60736187,1,0.095,0.901,0.105,0.677,0.155,0.735,0.957,0.769,0.782,0.983,0.129,0.942,0.137,0.865,0.158,0.436,0.961,0.454,0.703,0.646,0.758,0.965,0.785,0.743,1.057,0.576,0.995,0.579,0.947,0.611,69.849
