rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,307.088,274.043,249.359,332.45,329.471,304.798,368.876,66259.7,62788.7,62236.1,68741.9,70847.9,70297.8,80313.4
0,1,0,307.087,274.042,252.948,332.449,329.47,252.948,368.876,66259.3,62788.7,59566.8,68741.7,70847.9,59566.8,80313.4
0,2,0,307.087,274.042,252.107,332.449,329.47,252.107,368.876,66259.3,62788.7,59930.5,68741.7,70847.9,59930.5,80313.4
0,3,0,307.087,274.042,250.854,332.449,329.47,250.854,368.876,66259.3,62788.7,60205.6,68741.7,70847.9,60205.6,80313.4
0,4,0,307.086,274.041,251.836,332.448,329.469,251.836,368.876,66259.3,62788.7,59811.4,68741.7,70847.9,59811.4,80313.4
0,5,0,307.086,274.041,253.767,332.448,329.469,253.767,368.876,66259.3,62788.7,59113.6,68741.7,70847.9,59113.6,80313.4
0,6,0,307.086,274.042,253.887,332.449,329.47,253.887,368.876,66259.3,62788.7,59148.3,68741.7,70847.9,59148.3,80313.4
0,7,0,307.086,274.041,253.047,332.448,329.469,253.047,368.876,66259.3,62788.7,59301.3,68741.7,70847.9,59301.3,80313.4
0,8,0,307.086,274.042,251.065,332.448,329.47,251.065,368.876,66259.3,62788.7,60065.1,68741.7,70847.9,60065.1,80313.4
0,9,0,307.086,274.041,253.708,332.448,329.469,253.708,368.876,66259.3,62788.7,59105.7,68741.7,70847.9,59105.7,80313.4
0,10,0,307.087,274.043,253.358,332.449,329.471,253.358,368.876,66259.3,62788.7,59352.4,68741.7,70847.9,59352.4,80313.4
0,11,0,307.086,274.041,253.157,332.448,329.469,253.157,368.876,66259.3,62788.7,59439.9,68741.7,70847.9,59439.9,80313.4
0,12,0,307.085,274.041,250.009,332.447,329.469,250.009,368.876,66259.5,62788.8,60706.1,68741.9,70848.1,60706.1,80313.4
0,13,0,307.086,274.041,253.146,332.448,329.469,253.146,368.876,66259.3,62788.7,59681.7,68741.7,70847.9,59681.7,80313.4
0,14,0,307.087,274.042,252.72,332.449,329.47,252.72,368.876,66259.3,62788.7,59808.5,68741.7,70847.9,59808.5,80313.4
0,15,0,307.085,274.041,251.844,332.448,329.469,251.844,368.876,66259.3,62788.7,60162.1,68741.7,70847.9,60162.1,80313.4
0,16,0,307.085,274.041,248.611,332.447,329.469,248.611,368.876,66259.3,62788.7,60787.7,68741.7,70847.9,60787.7,80313.4
