rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,173.048,164.676,164.052,176.878,176.686,176.062,178.654,60398,57716,57622.1,61300.3,61694.5,61600.6,62250.3
0,1,0,173.048,164.676,161.6,176.878,176.686,161.6,178.654,60398,57716,56629.3,61300.3,61694.5,56629.3,62250.3
0,2,0,0,0,0,0,0,0,178.654,0,0,0,0,0,0,62250.3
1,0,0,173.048,148.248,147.553,176.878,176.398,175.703,178.659,60398,51845.2,51766.8,61300.3,61524,61445.6,62252
1,1,0,173.048,148.248,145.575,176.877,176.398,145.575,178.659,60398,51845.2,50886.4,61300.3,61524,50886.4,62252
2,0,0,173.048,148.176,147.343,176.878,176.415,175.582,178.661,60398,51810.3,51704.3,61300.3,61503.5,61397.4,62247.1
2,1,0,173.048,148.175,145.502,176.877,176.414,145.502,178.661,60398.4,51810.3,50807.1,61300.7,61503.5,50807.1,62247.1
3,0,0,173.048,146.058,145.154,176.878,176.38,175.476,178.659,60398,51094.4,50965.4,61300.3,61526,61397,62252
3,1,0,173.048,146.058,143.298,176.877,176.38,143.298,178.659,60398,51094.4,50044.3,61300.4,61526,50044.3,62252
4,0,1,173.048,147.58,146.777,176.878,175.888,175.088,178.659,60398,51628.7,51525.6,61300.3,61340.9,61238.6,62252
4,1,1,173.048,147.58,144.254,176.877,175.887,144.254,178.659,60398.4,51628.7,50395.8,61300.7,61340.9,50395.8,62252
5,0,1,173.048,150.553,149.613,176.878,175.953,175.014,178.662,60398,52558.6,52472.8,61300.3,61285.5,61199.8,62248.4
5,1,1,173.048,150.553,147.577,176.877,175.953,147.577,178.662,60398,52558.6,51446.6,61300.7,61285.5,51446.6,62248.4
6,0,1,173.048,151.411,150.28,176.878,175.976,174.845,178.66,60398,52868,52726.6,61300.3,61293.8,61152.3,62252
6,1,1,173.048,151.411,148.239,176.877,175.976,148.239,178.66,60398.4,52868,51695.5,61301.1,61293.8,51695.5,62252
7,0,1,173.048,152.94,152.078,176.878,175.903,175.04,178.659,60398,53455.9,53366.6,61300.3,61329.1,61239.8,62252.7
7,1,1,173.048,152.94,149.548,176.877,175.902,149.548,178.659,60398.4,53455.9,52194,61301.1,61329.1,52194,62252.7
8,0,0,173.048,153.339,152.111,176.878,176.257,175.029,178.659,60398,53574.7,53306.6,61300.3,61474.5,61206.3,62251.5
8,1,0,173.048,153.339,150.102,176.877,176.257,150.102,178.659,60398,53574.7,52391.3,61300.7,61474.5,52391.3,62251.5
9,0,0,173.048,152.558,151.637,176.878,176.374,175.454,178.659,60398,53259.3,53135.8,61300.3,61454.2,61330.7,62252
9,1,0,173.047,152.557,149.454,176.877,176.374,149.454,178.659,60397.7,53259.3,52111.3,61300.4,61454.2,52111.3,62252
10,0,0,173.048,153.841,153.021,176.878,176.282,175.462,178.659,60398,53755.6,53674.5,61300.3,61459.9,61378.8,62249.3
10,1,0,173.048,153.841,150.974,176.877,176.282,150.974,178.659,60398,53755.6,52705.4,61301.1,61459.9,52705.4,62249.3
11,0,0,173.048,150.189,149.43,176.878,176.373,175.614,178.704,60398,52434.6,52368.1,61300.3,61511.1,61444.6,62271
11,1,0,173.048,150.189,147.701,176.877,176.373,147.701,178.704,60398.4,52434.6,51513.6,61301.1,61511.1,51513.6,62271
12,0,1,173.048,152.091,151.26,176.878,175.942,175.111,178.66,60398,53137.7,53036.4,61300.3,61356.7,61255.5,62252.7
12,1,1,173.048,152.091,148.522,176.877,175.942,148.522,178.66,60398,53137.7,51750.8,61300.7,61356.7,51750.8,62252.7
13,0,1,173.048,153.591,152.732,176.878,175.952,175.093,178.659,60398,53679.3,53578.2,61300.3,61352.9,61251.8,62249.8
13,1,1,173.048,153.591,150.403,176.877,175.952,150.403,178.659,60398.4,53679.3,52473.3,61301.1,61352.9,52473.3,62249.8
14,0,1,173.048,153.42,152.569,176.878,175.92,175.069,178.662,60398,53617.7,53529.4,61300.3,61350.5,61262.2,62253.4
14,1,1,173.048,153.42,149.985,176.878,175.919,149.985,178.662,60398,53617.7,52337.7,61301.1,61350.5,52337.7,62253.4
15,0,1,173.048,152.749,152.074,176.878,175.682,175.007,178.662,60398,53389,53343.4,61300.3,61286,61240.4,62254.7
15,1,1,173.048,152.749,149.097,176.877,175.682,149.097,178.662,60397.7,53389,51991.7,61300.4,61286,51991.7,62254.7
16,0,0,173.048,152.491,151.675,176.878,176.251,175.436,178.662,60398,53265,53148.1,61300.3,61488.1,61371.1,62253.4
16,1,0,173.047,152.49,149.791,176.877,176.251,149.791,178.662,60398,53265,52300.1,61301.1,61488.1,52300.1,62253.4
17,0,0,173.048,149.795,148.955,176.878,176.356,175.516,178.663,60398,52385.9,52245.4,61300.3,61530.4,61389.9,62253.4
17,1,0,173.048,149.795,147.067,176.877,176.356,147.067,178.663,60398.4,52385.9,51379.6,61301.1,61530.4,51379.6,62253.4
