rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
7,0,1,4.64798,4.46678,4.34784,4.97228,4.94525,4.82632,5.03133,1460.3,1420.49,1398.2,1502.79,1553.67,1531.38,1587.16
7,1,1,4.64751,4.46657,4.19615,4.97132,4.94504,4.19615,5.03133,1460.3,1420.49,1352.31,1502.04,1553.67,1352.31,1587.16
7,2,1,4.64751,4.46657,4.15993,4.97132,4.94504,4.15993,5.03133,1460.3,1420.49,1342.13,1502.04,1553.67,1342.13,1587.16
7,3,1,4.64751,4.46657,4.16392,4.97133,4.94505,4.16392,5.03133,1460.3,1420.49,1344.95,1502.04,1553.67,1344.95,1587.16
7,4,1,4.6475,4.46656,4.16624,4.97132,4.94504,4.16624,5.03133,1460.58,1420.77,1355.13,1502.32,1553.95,1355.13,1587.16
7,5,1,4.64751,4.46657,4.18536,4.97133,4.94505,4.18536,5.03133,1460.3,1420.49,1348.56,1502.04,1553.67,1348.56,1587.16
8,0,0,4.64798,4.43443,4.34936,4.97228,4.9632,4.87813,5.0304,1460.3,1409.77,1396.55,1502.79,1560.05,1546.83,1586.88
8,1,0,4.64715,4.43409,4.13107,4.97056,4.96286,4.13107,5.0304,1459.4,1409.77,1335.22,1503.32,1560.05,1335.22,1586.88
8,2,0,4.64716,4.43409,4.13761,4.97056,4.96287,4.13761,5.0304,1459.4,1409.77,1333.01,1503.32,1560.05,1333.01,1586.88
8,3,0,4.64715,4.43408,4.13397,4.97055,4.96286,4.13397,5.0304,1459.4,1409.77,1330.17,1503.32,1560.05,1330.17,1586.88
8,4,0,4.64715,4.43409,4.14912,4.97056,4.96286,4.14912,5.0304,1459.4,1409.77,1339.35,1503.32,1560.05,1339.35,1586.88
8,5,0,4.64715,4.43409,4.1085,4.97055,4.96286,4.1085,5.0304,1459.4,1409.77,1327.79,1503.32,1560.05,1327.79,1586.88
9,0,0,4.64798,4.46481,4.3482,4.97228,4.9641,4.84749,5.03078,1460.3,1420.75,1395.08,1502.79,1559.26,1533.59,1587.16
9,1,0,4.64754,4.4646,4.16004,4.97107,4.96389,4.16004,5.03078,1460.31,1420.48,1338.57,1502.59,1558.99,1338.57,1587.16
9,2,0,4.64754,4.46461,4.15761,4.97108,4.9639,4.15761,5.03078,1460.31,1420.48,1349.71,1502.59,1558.99,1349.71,1587.16
