rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,531.919,475.79,465.827,560.168,557.044,547.097,571.459,123448,115461,115177,123835,128123,127841,132709
0,1,0,531.919,475.789,463.871,560.168,557.044,463.871,571.459,123447,115461,112409,123835,128123,112409,132709
0,2,0,531.919,475.79,458.391,560.168,557.044,458.391,571.459,123448,115461,111825,123835,128123,111825,132709
0,3,0,531.919,475.789,457.17,560.168,557.044,457.17,571.459,123447,115461,112150,123835,128123,112150,132709
1,0,0,531.919,457.725,449.96,560.168,558.438,550.673,571.461,123448,112029,111667,123835,128773,128410,132709
1,1,0,531.919,457.724,446.821,560.167,558.438,446.821,571.461,123447,112029,109096,123835,128773,109096,132709
1,2,0,531.919,457.724,446.463,560.168,558.438,446.463,571.461,123447,112029,109249,123835,128773,109249,132709
1,3,0,531.919,457.724,445.029,560.167,558.438,445.029,571.461,123447,112029,109545,123835,128773,109545,132709
2,0,0,531.919,454.651,446.556,560.168,559.123,551.028,571.461,123448,111334,110992,123835,128953,128611,132710
2,1,0,531.918,454.65,443.372,560.167,559.122,443.372,571.461,123447,111334,108515,123835,128953,108515,132710
2,2,0,531.919,454.65,442.441,560.168,559.122,442.441,571.461,123447,111334,108860,123835,128953,108860,132710
2,3,0,531.919,454.65,443.284,560.167,559.122,443.284,571.461,123447,111334,108297,123835,128953,108297,132710
3,0,0,531.919,466.495,457.983,560.168,558.864,550.352,571.46,123448,113798,113332,123835,128727,128262,132710
3,1,0,531.918,466.494,452.372,560.167,558.864,452.372,571.46,123447,113798,110652,123835,128727,110652,132710
3,2,0,531.919,466.494,452.965,560.167,558.864,452.965,571.46,123447,113798,110204,123835,128727,110204,132710
3,3,0,531.918,466.494,451.066,560.167,558.863,451.066,571.46,123447,113798,110944,123835,128727,110944,132710
4,0,1,531.919,463.867,455.181,560.168,557.363,548.676,571.46,123448,113192,112876,123835,128374,128058,132708
4,1,1,531.919,463.867,451.072,560.168,557.362,451.072,571.46,123447,113192,109781,123835,128374,109781,132708
4,2,1,531.919,463.867,451.053,560.168,557.362,451.053,571.46,123447,113192,109983,123835,128374,109983,132708
4,3,1,531.919,463.867,449.512,560.167,557.362,449.512,571.46,123447,113192,110454,123835,128374,110454,132708
5,0,1,531.919,467.316,458.892,560.168,557.238,548.816,571.46,123448,113804,113455,123835,128441,128093,132709
5,1,1,531.919,467.316,453.342,560.167,557.237,453.342,571.46,123447,113804,110970,123835,128441,110970,132709
5,2,1,531.919,467.316,454.979,560.167,557.237,454.979,571.46,123447,113804,110405,123835,128441,110405,132709
5,3,1,531.919,467.316,454.591,560.168,557.238,454.591,571.46,123447,113804,110628,123835,128441,110628,132709
6,0,1,531.919,468.34,460.718,560.168,557.01,549.388,571.461,123448,114079,113872,123835,128440,128232,132710
6,1,1,531.919,468.339,455.083,560.168,557.01,455.083,571.461,123447,114079,110418,123835,128440,110418,132710
6,2,1,531.919,468.339,454.623,560.168,557.01,454.623,571.461,123447,114079,110634,123835,128440,110634,132710
6,3,1,531.919,468.339,453.05,560.167,557.009,453.05,571.461,123447,114079,111196,123835,128440,111196,132710
7,0,1,531.919,467.601,459.66,560.168,557.02,549.079,571.461,123448,114154,113892,123835,128407,128145,132710
7,1,1,531.918,467.601,453.586,560.167,557.02,453.586,571.461,123447,114154,110762,123835,128407,110762,132710
7,2,1,531.918,467.601,451.894,560.167,557.02,451.894,571.461,123447,114154,111153,123835,128407,111153,132710
7,3,1,531.919,467.601,454.004,560.167,557.02,454.004,571.461,123447,114154,110474,123835,128407,110474,132710
8,0,0,531.919,457.651,450.04,560.168,558.402,550.803,571.461,123448,111975,111608,123835,128826,128461,132710
8,1,0,531.919,457.65,444.266,560.168,558.402,444.266,571.461,123447,111975,108581,123835,128826,108581,132710
8,2,0,531.919,457.65,444.061,560.167,558.402,444.061,571.461,123447,111975,108423,123835,128826,108423,132710
8,3,0,531.918,457.65,442.873,560.167,558.401,442.873,571.461,123447,111975,109017,123835,128826,109017,132710
9,0,0,531.919,471.579,463.445,560.168,558.509,550.377,571.46,123448,114836,114532,123835,128704,128401,132709
9,1,0,531.919,471.579,457.512,560.167,558.509,457.512,571.46,123447,114836,111516,123835,128704,111516,132709
9,2,0,531.918,471.578,457.423,560.167,558.509,457.423,571.46,123447,114836,111322,123835,128704,111322,132709
9,3,0,531.918,471.578,456.466,560.167,558.509,456.466,571.46,123447,114836,111823,123835,128704,111823,132709
10,0,0,531.919,461.64,453.848,560.168,558.849,551.058,571.46,123448,112659,112341,123835,128862,128544,132709
10,1,0,531.919,461.64,450.16,560.167,558.849,450.16,571.46,123447,112659,109518,123835,128862,109518,132709
10,2,0,531.919,461.64,448.79,560.167,558.849,448.79,571.46,123447,112659,110035,123835,128862,110035,132709
10,3,0,531.918,461.64,449.489,560.167,558.849,449.489,571.46,123447,112659,109742,123835,128862,109742,132709
11,0,0,531.919,459.885,451.499,560.168,558.834,550.448,571.461,123448,112377,112020,123835,128779,128423,132710
11,1,0,531.919,459.885,448.549,560.167,558.834,448.549,571.461,123447,112377,109653,123835,128779,109653,132710
11,2,0,531.918,459.885,447.583,560.167,558.834,447.583,571.461,123447,112377,109973,123835,128779,109973,132710
11,3,0,531.919,459.885,448.701,560.167,558.834,448.701,571.461,123447,112377,109357,123835,128779,109357,132710
12,0,1,531.919,464.566,456.594,560.168,557.05,549.078,571.461,123448,113249,112940,123835,128521,128213,132710
12,1,1,531.919,464.566,451.291,560.167,557.049,451.291,571.461,123447,113249,109582,123835,128521,109582,132710
12,2,1,531.918,464.566,450.639,560.167,557.049,450.639,571.461,123447,113249,109747,123835,128521,109747,132710
12,3,1,531.919,464.566,450.42,560.167,557.049,450.42,571.461,123447,113249,110302,123835,128521,110302,132710
13,0,1,531.919,461.969,453.559,560.168,557.076,548.674,571.461,123448,112874,112624,123835,128382,128133,132710
