rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,191.581,177.055,175.893,198.111,197.741,196.58,200.391,52264.9,50041.2,49885.3,52716.6,54135.5,53979.6,54828.3
0,1,0,191.581,177.054,174.018,198.111,197.741,174.018,200.391,52264.9,50041.2,49118.4,52716.6,54135.5,49118.4,54828.3
0,2,0,0,0,0,0,0,0,200.391,0,0,0,0,0,0,54828.3
1,0,0,191.581,157.6,156.805,198.111,197.733,196.939,200.399,52264.9,44341.4,44290.1,52716.6,54111.3,54060,54830.8
1,1,0,191.581,157.599,154.879,198.11,197.733,154.879,200.399,52265,44341.4,43496.1,52718.8,54111.3,43496.1,54830.8
2,0,0,191.581,158.412,157.506,198.111,197.816,196.911,200.399,52264.9,44620.4,44582.6,52716.6,54090.1,54052.3,54829.7
2,1,0,191.58,158.411,155.658,198.11,197.816,155.658,200.399,52265,44620.4,43761.8,52718.8,54090.1,43761.8,54829.7
3,0,0,191.581,156.027,155.082,198.111,197.796,196.85,200.399,52264.9,44026.6,43955.4,52716.6,54114.9,54043.7,54830.8
3,1,0,191.58,156.027,153.27,198.11,197.796,153.27,200.399,52265,44026.6,43157.8,52716.8,54114.9,43157.8,54830.8
4,0,1,191.581,157.78,156.899,198.111,197.25,196.369,200.399,52264.9,44504.4,44470.9,52716.6,53936.8,53903.3,54830.8
4,1,1,191.58,157.78,154.357,198.11,197.25,154.357,200.399,52264.7,44504.4,43423.2,52718.1,53936.8,43423.2,54830.8
5,0,1,191.581,160.265,159.113,198.111,197.326,196.174,200.401,52264.9,45292.6,45212.9,52716.6,53919.4,53839.7,54831.3
5,1,1,191.581,160.265,157.255,198.111,197.326,157.255,200.401,52264.7,45292.6,44300.4,52718.1,53919.4,44300.4,54831.3
6,0,1,191.581,162.01,160.73,198.111,197.259,195.979,200.401,52264.9,45717.7,45628.1,52716.6,53875.3,53785.7,54828.8
6,1,1,191.58,162.01,158.708,198.11,197.258,158.708,200.401,52265,45717.7,44693.2,52716.5,53875.3,44693.2,54828.8
7,0,1,191.581,163.233,162.246,198.111,197.278,196.291,200.401,52264.9,46124.4,46096.3,52716.6,53933.4,53905.2,54830.8
7,1,1,191.58,163.232,159.617,198.11,197.277,159.617,200.401,52264.7,46124.4,44921,52716.1,53933.4,44921,54830.8
8,0,0,191.581,163.051,161.917,198.111,197.595,196.462,200.4,52264.9,45953.2,45866.6,52716.6,54028.2,53941.6,54831.3
8,1,0,191.58,163.05,159.692,198.11,197.595,159.692,200.4,52265,45953,44893.9,52717.1,54028,44893.9,54831.3
9,0,0,191.581,161.614,160.615,198.111,197.662,196.664,200.403,52264.9,45688.6,45614.9,52716.6,54078.7,54005,54833
9,1,0,191.58,161.614,158.344,198.11,197.662,158.344,200.403,52264.7,45688.4,44664,52716.1,54078.5,44664,54833
10,0,0,191.581,164.178,163.166,198.111,197.729,196.717,200.404,52264.9,46392.6,46324.6,52716.6,54086.1,54018.2,54833.5
10,1,0,191.58,164.178,161.314,198.11,197.729,161.314,200.404,52264.7,46392.4,45470.6,52716.1,54085.9,45470.6,54833.5
11,0,0,191.581,160.352,159.466,198.111,197.75,196.864,200.433,52264.9,45147.4,45104.4,52716.6,54077.4,54034.4,54839
11,1,0,191.58,160.352,158.009,198.11,197.75,158.009,200.433,52265.2,45147.4,44375.8,52716.7,54077.4,44375.8,54839
12,0,1,191.581,163.71,162.825,198.111,197.249,196.364,200.4,52264.9,46147.8,46115.2,52716.6,53963.8,53931.3,54831.3
12,1,1,191.58,163.71,159.903,198.11,197.249,159.903,200.4,52264.7,46147.8,44906,52718.1,53963.8,44906,54831.3
13,0,1,191.581,164.549,163.549,198.111,197.272,196.276,200.399,52264.9,46377.5,46334,52716.6,53935.4,53890.4,54829.5
13,1,1,191.58,164.549,161.342,198.11,197.272,161.342,200.399,52264.7,46377.5,45334.3,52718.5,53935.4,45334.3,54829.5
14,0,1,191.581,164.266,163.21,198.111,197.225,196.169,200.401,52264.9,46452.2,46402,52716.6,53949.6,53899.3,54829.7
