rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,478.971,439.887,428.824,503.194,499.996,488.957,516.048,122013,116797,116719,123234,126877,126805,132116
0,1,0,478.909,439.826,424.312,503.133,499.934,424.312,516.048,122002,116786,114270,123223,126866,114270,132116
0,2,0,478.909,439.826,428.508,503.133,499.934,428.508,516.048,122002,116786,113738,123223,126866,113738,132116
0,3,0,478.909,439.826,425.154,503.133,499.934,425.154,516.048,122002,116786,113928,123223,126866,113928,132116
0,4,0,478.909,439.825,424.617,503.132,499.934,424.617,516.048,122002,116786,114133,123223,126866,114133,132116
0,5,0,478.909,439.826,426.434,503.133,499.934,426.434,516.048,122002,116786,113429,123223,126866,113429,132116
1,0,0,478.971,430.472,419.999,503.194,501.274,490.801,516.05,122013,114611,114238,123234,127080,126708,132116
1,1,0,478.909,430.41,417.671,503.132,501.212,417.671,516.05,122002,114599,111449,123223,127069,111449,132116
1,2,0,478.909,430.411,417.565,503.132,501.213,417.565,516.05,122002,114599,111752,123223,127069,111752,132116
1,3,0,478.909,430.411,416.963,503.133,501.213,416.963,516.05,122002,114599,112138,123223,127069,112138,132116
1,4,0,478.909,430.41,416.583,503.132,501.212,416.583,516.05,122002,114599,112144,123223,127069,112144,132116
1,5,0,478.909,430.411,418.588,503.133,501.213,418.588,516.05,122002,114599,111204,123223,127069,111204,132116
2,0,0,478.971,429.652,419.127,503.194,501.628,491.103,516.05,122013,114373,114021,123234,127359,127007,132115
2,1,0,478.909,429.591,416.262,503.132,501.567,416.262,516.05,122002,114362,111237,123223,127348,111237,132115
2,2,0,478.909,429.591,416.508,503.132,501.567,416.508,516.05,122002,114362,111507,123223,127348,111507,132115
2,3,0,478.909,429.591,415.647,503.133,501.567,415.647,516.05,122002,114362,111870,123223,127348,111870,132115
2,4,0,478.909,429.591,415.126,503.133,501.567,415.126,516.05,122002,114362,112030,123223,127348,112030,132115
2,5,0,478.909,429.591,417.771,503.133,501.567,417.771,516.05,122002,114362,110995,123223,127348,110995,132115
3,0,0,478.971,433.287,419.025,503.194,500.295,486.06,516.05,122013,114909,113967,123234,127302,126364,132116
3,1,0,478.909,433.225,417.226,503.133,500.234,417.226,516.05,122002,114898,111467,123223,127291,111467,132116
3,2,0,478.909,433.225,417.512,503.132,500.234,417.512,516.05,122002,114898,111597,123223,127291,111597,132116
3,3,0,478.909,433.225,420.181,503.132,500.234,420.181,516.05,122002,114898,112374,123223,127291,112374,132116
3,4,0,478.909,433.225,417.137,503.132,500.234,417.137,516.05,122002,114898,112054,123223,127291,112054,132116
3,5,0,478.909,433.225,418.456,503.132,500.234,418.456,516.05,122002,114898,111192,123223,127291,111192,132116
4,0,1,478.971,434.085,423.632,503.194,499.309,488.857,516.05,122013,115448,115310,123234,126777,126638,132116
4,1,1,478.909,434.023,421.062,503.132,499.248,421.062,516.05,122002,115437,112259,123223,126766,112259,132116
4,2,1,478.909,434.024,420.47,503.133,499.248,420.47,516.05,122002,115437,112316,123223,126766,112316,132116
4,3,1,478.909,434.023,419.418,503.132,499.248,419.418,516.05,122002,115437,112677,123223,126766,112677,132116
4,4,1,478.909,434.024,419.811,503.133,499.248,419.811,516.05,122002,115437,112889,123223,126766,112889,132116
4,5,1,478.909,434.023,421.735,503.133,499.248,421.735,516.05,122002,115437,111880,123223,126766,111880,132116
5,0,1,478.971,434.05,422.219,503.194,499.418,487.588,516.05,122013,115311,114920,123234,126494,126103,132117
5,1,1,478.909,433.988,419.561,503.133,499.357,419.561,516.05,122002,115300,111687,123223,126483,111687,132117
5,2,1,478.909,433.988,418.879,503.132,499.357,418.879,516.05,122002,115300,111907,123223,126483,111907,132117
5,3,1,478.909,433.988,417.541,503.132,499.357,417.541,516.05,122002,115300,112393,123223,126483,112393,132117
5,4,1,478.909,433.988,419.83,503.133,499.357,419.83,516.05,122002,115300,111314,123223,126483,111314,132117
5,5,1,478.909,433.988,418.097,503.133,499.357,418.097,516.05,122002,115300,112163,123223,126483,112163,132117
6,0,1,478.971,438.552,426.895,503.194,499.219,487.603,516.05,122013,116078,115765,123234,126353,126047,132116
6,1,1,478.909,438.49,424.728,503.133,499.157,424.728,516.05,122002,116067,112835,123223,126342,112835,132116
6,2,1,478.909,438.49,425.677,503.132,499.157,425.677,516.05,122002,116067,112428,123223,126342,112428,132116
6,3,1,478.909,438.49,422.693,503.132,499.157,422.693,516.05,122002,116067,113585,123223,126342,113585,132116
6,4,1,478.909,438.49,424.26,503.133,499.157,424.26,516.05,122002,116067,112927,123223,126342,112927,132116
6,5,1,478.909,438.49,423.304,503.133,499.157,423.304,516.05,122002,116067,113348,123223,126342,113348,132116
