rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,419.202,403.9,396.838,437.137,435.057,427.995,444.828,145397,140728,140321,146967,150462,150055,154741
0,1,0,419.202,403.9,394.96,437.137,435.057,394.96,444.828,145397,140728,137659,146967,150462,137659,154741
0,2,0,419.202,403.9,391.341,437.137,435.057,391.341,444.828,145397,140728,136966,146967,150462,136966,154741
0,3,0,419.201,403.9,390.641,437.137,435.057,390.641,444.828,145398,140728,137304,146967,150462,137304,154741
1,0,0,419.202,390.143,384.813,437.137,435.943,430.613,444.831,145397,136557,136166,146967,151212,150821,154745
1,1,0,419.201,390.142,382.133,437.137,435.942,382.133,444.831,145397,136557,134012,146967,151212,134012,154745
1,2,0,419.201,390.143,382.845,437.137,435.943,382.845,444.831,145397,136557,133788,146967,151212,133788,154745
1,3,0,419.201,390.143,382.838,437.137,435.943,382.838,444.831,145397,136557,133860,146967,151212,133860,154745
2,0,0,419.202,387.63,382.041,437.137,436.108,430.52,444.831,145397,135727,135220,146967,151249,150741,154745
2,1,0,419.201,387.63,379.246,437.137,436.108,379.246,444.831,145397,135727,133203,146967,151248,133203,154745
2,2,0,419.201,387.63,379.876,437.137,436.108,379.876,444.831,145398,135727,132776,146968,151249,132776,154745
2,3,0,419.201,387.63,380.054,437.137,436.108,380.054,444.831,145397,135727,133007,146967,151248,133007,154745
3,0,0,419.202,396.822,390.704,437.137,436.043,429.927,444.83,145397,138636,138068,146967,151083,150515,154742
3,1,0,419.201,396.822,387.497,437.137,436.043,387.497,444.83,145397,138636,135351,146967,151083,135351,154742
3,2,0,419.201,396.822,387.263,437.137,436.043,387.263,444.83,145397,138636,135111,146967,151083,135111,154742
3,3,0,419.201,396.822,386.491,437.137,436.043,386.491,444.83,145397,138636,135571,146967,151083,135571,154742
4,0,1,419.202,395.502,389.064,437.137,433.954,427.516,444.831,145397,138146,137696,146967,150309,149860,154742
4,1,1,419.201,395.501,385.967,437.137,433.953,385.967,444.831,145397,138146,135271,146967,150309,135271,154742
4,2,1,419.201,395.502,386.488,437.137,433.954,386.488,444.831,145397,138146,134611,146967,150309,134611,154742
4,3,1,419.201,395.502,386.561,437.137,433.954,386.561,444.831,145397,138146,134902,146967,150309,134902,154742
5,0,1,419.202,396.234,390.189,437.137,434.153,428.109,444.83,145397,138475,138034,146967,150515,150073,154742
5,1,1,419.201,396.234,387.38,437.137,434.153,387.38,444.83,145398,138475,135219,146968,150515,135219,154742
5,2,1,419.201,396.234,387.63,437.137,434.153,387.63,444.83,145397,138475,134921,146967,150514,134921,154742
5,3,1,419.201,396.234,386.852,437.137,434.153,386.852,444.83,145397,138475,135545,146967,150514,135545,154742
6,0,1,419.202,394.56,388.958,437.137,434.097,428.496,444.831,145397,138099,137837,146967,150717,150455,154745
6,1,1,419.202,394.56,385.231,437.137,434.097,385.231,444.831,145397,138099,134385,146967,150717,134385,154745
6,2,1,419.201,394.559,384.608,437.137,434.097,384.608,444.831,145398,138099,134845,146968,150718,134845,154745
6,3,1,419.202,394.559,384.951,437.137,434.097,384.951,444.831,145397,138099,134599,146967,150717,134599,154745
7,0,1,419.202,395.701,390.09,437.137,433.987,428.401,444.83,145397,138369,138142,146967,150418,150200,154742
7,1,1,419.201,395.7,385.302,437.137,433.986,385.302,444.83,145397,138369,135110,146967,150418,135110,154742
7,2,1,419.201,395.701,386.046,437.137,433.987,386.046,444.83,145397,138369,134938,146967,150418,134938,154742
7,3,1,419.201,395.701,386.118,437.137,433.986,386.118,444.83,145398,138369,134644,146968,150418,134644,154742
8,0,0,419.202,389.699,384.354,437.137,436.091,430.746,444.83,145397,136381,135961,146967,151286,150866,154742
8,1,0,419.202,389.699,380.741,437.137,436.09,380.741,444.83,145397,136381,133593,146967,151286,133593,154742
8,2,0,419.201,389.699,381.304,437.137,436.09,381.304,444.83,145397,136381,133141,146967,151286,133141,154742
8,3,0,419.202,389.699,381.368,437.137,436.09,381.368,444.83,145397,136381,133276,146967,151286,133276,154742
9,0,0,419.202,398.346,392.841,437.137,436.082,430.577,444.83,145397,139150,138625,146967,151107,150583,154742
9,1,0,419.201,398.346,389.136,437.137,436.082,389.136,444.83,145397,139150,135749,146967,151107,135749,154742
9,2,0,419.201,398.346,389.02,437.137,436.082,389.02,444.83,145397,139150,136001,146967,151107,136001,154742
9,3,0,419.201,398.346,388.287,437.137,436.082,388.287,444.83,145397,139150,136174,146967,151107,136174,154742
10,0,0,419.202,392.447,387.249,437.137,435.731,430.534,444.83,145397,137349,136877,146967,151170,150698,154742
10,1,0,419.201,392.447,384.636,437.137,435.731,384.636,444.83,145397,137349,134279,146967,151170,134279,154742
10,2,0,419.201,392.446,384.15,437.137,435.731,384.15,444.83,145397,137349,134475,146967,151170,134475,154742
10,3,0,419.201,392.446,383.776,437.137,435.731,383.776,444.83,145397,137349,134555,146967,151170,134555,154742
11,0,0,419.202,395.192,389.321,437.137,435.784,429.917,444.83,145397,138215,137655,146967,151090,150532,154742
11,1,0,419.201,395.192,387.521,437.137,435.784,387.521,444.83,145397,138215,135336,146967,151090,135336,154742
11,2,0,419.201,395.191,387.37,437.137,435.784,387.37,444.83,145397,138215,135399,146967,151090,135399,154742
11,3,0,419.201,395.191,387.079,437.137,435.784,387.079,444.83,145397,138215,135657,146967,151090,135657,154742
