rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,180.851,167.501,163.111,188.781,188.087,183.698,194.096,61970.1,57922.2,58047.7,62973.9,63929.2,64054.7,66509.6
0,1,0,180.851,167.501,162.912,188.781,188.087,162.912,194.096,61970.1,57922.2,56830,62973.9,63929.2,56830,66509.6
0,2,0,180.851,167.501,162.526,188.781,188.087,162.526,194.096,61970.1,57922.2,56857,62973.9,63929.2,56857,66509.6
0,3,0,180.851,167.501,162.076,188.781,188.087,162.076,194.096,61970.3,57922.5,57053.7,62974.2,63929.5,57053.7,66509.6
0,4,0,180.851,167.501,162.462,188.78,188.087,162.462,194.096,61970.1,57922.2,56877.9,62973.9,63929.2,56877.9,66509.6
0,5,0,180.851,167.501,163.126,188.781,188.087,163.126,194.096,61970.1,57922.2,56515.2,62973.9,63929.2,56515.2,66509.6
0,6,0,180.851,167.501,163.143,188.781,188.087,163.143,194.096,61970.1,57922.2,56512.5,62973.9,63929.2,56512.5,66509.6
0,7,0,180.851,167.501,162.917,188.78,188.087,162.917,194.096,61970.1,57922.2,56519.6,62973.9,63929.2,56519.6,66509.6
1,0,0,180.851,152.961,148.68,188.781,188.012,183.732,194.097,61970.1,53183.5,53019.7,62973.9,64108.4,63944.7,66510.2
1,1,0,180.85,152.96,148.647,188.78,188.012,148.647,194.097,61970.1,53183.5,51726.3,62973.9,64108.4,51726.3,66510.2
1,2,0,180.851,152.961,148.861,188.78,188.012,148.861,194.097,61970.1,53183.5,51590.8,62973.9,64108.4,51590.8,66510.2
1,3,0,180.85,152.96,148.732,188.78,188.012,148.732,194.097,61970.1,53183.5,51651.7,62973.9,64108.4,51651.7,66510.2
1,4,0,180.851,152.961,148.124,188.78,188.012,148.124,194.097,61970.1,53183.5,51910.5,62973.9,64108.4,51910.5,66510.2
1,5,0,180.85,152.96,147.943,188.78,188.012,147.943,194.097,61970.1,53183.5,52126.6,62973.9,64108.4,52126.6,66510.2
1,6,0,180.85,152.96,148.062,188.78,188.012,148.062,194.097,61970.1,53183.5,51956.9,62973.9,64108.4,51956.9,66510.2
1,7,0,180.851,152.961,148.191,188.78,188.012,148.191,194.097,61970.1,53183.5,51964.8,62973.9,64108.4,51964.8,66510.2
2,0,0,180.851,164.974,160.741,188.781,187.767,183.533,194.098,61970.1,57427.1,57285.7,62973.9,64106.8,63965.4,66509.1
