rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,179.098,167.919,166.978,184.219,183.924,182.983,186.226,57993.2,54990.1,54876.7,57942.2,59558.4,59445,60216.5
0,1,0,179.098,167.919,165.136,184.219,183.924,165.136,186.226,57993.2,54990.1,53996.9,57942.2,59558.4,53996.9,60216.5
0,2,0,0,0,0,0,0,0,186.226,0,0,0,0,0,0,60216.5
1,0,0,179.098,150.501,149.751,184.219,183.864,183.115,186.231,57993.2,49278.4,49202.6,57942.2,59530,59454.2,60218.4
1,1,0,179.097,150.501,148.076,184.218,183.864,148.076,186.231,57993.6,49278.4,48413.2,57942.9,59530,48413.2,60218.4
2,0,0,179.098,151.195,150.288,184.219,183.935,183.027,186.231,57993.2,49437.7,49368.3,57942.2,59487.8,59418.5,60213.3
2,1,0,179.097,151.195,148.62,184.218,183.935,148.62,186.231,57993.2,49437.7,48517.1,57942.5,59487.8,48517.1,60213.3
3,0,0,179.098,148.624,147.762,184.219,183.793,182.931,186.231,57993.2,48640.5,48556.1,57942.2,59481.1,59396.7,60218.4
3,1,0,179.097,148.624,146.039,184.218,183.793,146.039,186.231,57993.6,48640.5,47722.5,57942.9,59481.1,47722.5,60218.4
4,0,1,179.098,149.907,149.13,184.219,183.342,182.564,186.231,57993.2,48965.7,48970,57942.2,59283,59287.3,60215.9
4,1,1,179.097,149.907,146.777,184.218,183.341,146.777,186.231,57993.2,48965.7,47872.9,57942.5,59283,47872.9,60215.9
5,0,1,179.098,153.429,152.488,184.219,183.43,182.489,186.232,57993.2,50188.6,50128.5,57942.2,59301,59240.9,60218.7
5,1,1,179.097,153.429,150.538,184.218,183.43,150.538,186.232,57993.6,50188.6,49128.6,57943.6,59301,49128.6,60218.7
6,0,1,179.098,154.26,153.04,184.219,183.369,182.149,186.231,57993.2,50446.8,50330,57942.2,59299.6,59182.7,60218.4
6,1,1,179.097,154.26,151.16,184.218,183.369,151.16,186.231,57993.4,50446.8,49299.8,57942.7,59299.6,49299.8,60218.4
7,0,1,179.098,156.176,155.371,184.219,183.277,182.473,186.232,57993.2,51107.3,51076.9,57942.2,59303.5,59273.1,60215.7
7,1,1,179.097,156.176,152.717,184.218,183.277,152.717,186.232,57993.2,51107.3,49827.4,57942.8,59303.5,49827.4,60215.7
8,0,0,179.098,155.881,154.934,184.219,183.756,182.809,186.231,57993.2,51052.4,50947.6,57942.2,59487.7,59382.9,60218.4
8,1,0,179.097,155.881,152.839,184.218,183.756,152.839,186.231,57993.2,51052.4,49953.3,57942.5,59487.7,49953.3,60218.4
9,0,0,179.098,154.81,153.95,184.219,183.785,182.926,186.231,57993.2,50658.2,50561.4,57942.2,59486.2,59389.3,60218.4
