rank,thr,socket,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,0,429.177,405.203,397.107,447.441,445.421,437.325,457.714,146497,140734,140631,148657,151888,151785,157060
0,1,0,429.176,405.202,394.038,447.44,445.42,394.038,457.714,146497,140734,137632,148657,151888,137632,157060
0,2,0,429.177,405.203,393.652,447.441,445.421,393.652,457.714,146497,140734,137863,148657,151888,137863,157060
0,3,0,429.176,405.203,396.003,447.44,445.42,396.003,457.714,146497,140734,137528,148657,151888,137528,157060
0,4,0,429.176,405.203,393.122,447.44,445.42,393.122,457.714,146497,140734,138030,148657,151888,138030,157060
0,5,0,429.176,405.202,394.86,447.44,445.42,394.86,457.714,146497,140734,136968,148657,151888,136968,157060
1,0,0,429.177,396.361,388.374,447.441,445.997,438.017,457.714,146497,138068,137568,148657,152284,151786,157061
1,1,0,429.176,396.361,386.257,447.44,445.997,386.257,457.714,146497,138068,134800,148658,152284,134800,157061
1,2,0,429.176,396.361,386.414,447.44,445.997,386.414,457.714,146497,138068,135094,148658,152284,135094,157061
1,3,0,429.176,396.361,386.081,447.44,445.997,386.081,457.714,146497,138068,135234,148658,152284,135234,157061
1,4,0,429.176,396.361,385.674,447.44,445.997,385.674,457.714,146497,138068,135277,148658,152284,135277,157061
1,5,0,429.176,396.361,386.986,447.44,445.997,386.986,457.714,146497,138068,134450,148658,152284,134450,157061
2,0,0,429.177,395.423,387.32,447.441,445.69,437.587,457.713,146497,137763,137195,148657,152248,151680,157061
2,1,0,429.176,395.423,385.255,447.44,445.69,385.255,457.713,146497,137763,134380,148658,152248,134380,157061
2,2,0,429.176,395.423,386.097,447.44,445.69,386.097,457.713,146497,137763,134163,148658,152248,134163,157061
2,3,0,429.176,395.423,385.198,447.44,445.69,385.198,457.713,146497,137763,134745,148658,152248,134745,157061
2,4,0,429.176,395.423,384.426,447.44,445.69,384.426,457.713,146497,137763,134944,148658,152248,134944,157061
2,5,0,429.176,395.423,384.687,447.44,445.69,384.687,457.713,146497,137763,134997,148658,152248,134997,157061
3,0,0,429.177,394.831,386.741,447.441,445.85,437.761,457.714,146497,137705,136922,148657,152383,151600,157061
3,1,0,429.176,394.831,385.571,447.44,445.849,385.571,457.714,146497,137705,134710,148657,152383,134710,157061
3,2,0,429.176,394.83,384.839,447.44,445.849,384.839,457.714,146497,137705,134329,148657,152383,134329,157061
3,3,0,429.176,394.831,385.102,447.44,445.849,385.102,457.714,146497,137705,135186,148657,152383,135186,157061
3,4,0,429.176,394.831,386.065,447.44,445.849,386.065,457.714,146497,137705,134223,148657,152383,134223,157061
3,5,0,429.176,394.83,384.775,447.44,445.849,384.775,457.714,146497,137705,134829,148657,152383,134829,157061
4,0,1,429.177,400.212,391.808,447.441,443.616,435.22,457.714,146497,139337,138910,148657,151439,151016,157061
4,1,1,429.176,400.212,388.853,447.44,443.616,388.853,457.714,146497,139337,135803,148658,151439,135803,157061
4,2,1,429.176,400.212,389.275,447.44,443.616,389.275,457.714,146497,139337,135654,148658,151439,135654,157061
4,3,1,429.176,400.211,388.725,447.44,443.615,388.725,457.714,146497,139337,136286,148658,151439,136286,157061
4,4,1,429.176,400.211,388.225,447.44,443.616,388.225,457.714,146497,139337,136014,148658,151439,136014,157061
4,5,1,429.176,400.211,389.799,447.44,443.616,389.799,457.714,146497,139337,135172,148658,151439,135172,157061
5,0,1,429.177,399.752,390.7,447.441,441.843,432.792,457.714,146497,139211,138338,148657,150967,150094,157061
