nodes,taskspernode,threadspertask,s,cpufreq,slurm_job_id,cnt,tpe,tlb,tce,tse,tte,tmpe,tmlb,tmce,tmse,tmte,tope,tolb,toce,tose,tote,epe,elb,ece,ese,ete,empe,emlb,emce,emse,emte,eope,eolb,eoce,eose,eote,total_time
1,8,12,1,2000000,60734083,1.0,0.219,0.86,0.254,0.492,0.518,0.513,0.965,0.532,0.998,0.533,0.427,0.891,0.478,0.492,0.972,0.023,0.879,0.026,0.387,0.067,0.197,0.833,0.237,0.999,0.237,0.116,1.055,0.11,0.387,0.284,71.322
1,8,12,1,2500000,60734084,1.0,0.188,0.84,0.223,0.52,0.43,0.411,0.948,0.433,0.984,0.441,0.456,0.886,0.515,0.528,0.975,0.02,0.952,0.021,0.366,0.057,0.196,0.817,0.239,1.017,0.235,0.102,1.165,0.087,0.36,0.243,36.517
1,8,12,1,3000000,60734085,1.0,0.147,0.8,0.184,0.476,0.387,0.349,0.913,0.382,0.97,0.394,0.422,0.876,0.482,0.491,0.981,0.017,0.197,0.085,0.939,0.09,0.051,0.273,0.185,0.969,0.191,0.329,0.72,0.458,0.969,0.472,34.61
1,8,12,1,3500000,60734086,1.0,0.164,0.857,0.191,0.532,0.359,0.353,0.966,0.365,0.995,0.367,0.465,0.887,0.523,0.535,0.979,0.018,0.921,0.02,0.495,0.04,0.127,0.803,0.159,1.091,0.146,0.142,1.146,0.124,0.454,0.274,31.703
1,8,12,1,3800000,60734087,1.0,0.238,0.851,0.279,0.54,0.517,0.509,0.958,0.531,0.996,0.534,0.467,0.889,0.526,0.542,0.97,0.025,0.835,0.03,0.724,0.041,0.129,0.762,0.169,1.418,0.119,0.192,1.096,0.175,0.51,0.344,30.939
1,8,12,5,1000000,60734088,1.0,0.408,0.843,0.484,0.539,0.898,0.902,0.954,0.946,0.995,0.952,0.452,0.885,0.511,0.541,0.944,0.037,1.042,0.036,0.478,0.075,0.546,0.948,0.575,1.002,0.574,0.068,1.099,0.062,0.477,0.13,335.185
1,8,12,5,1500000,60734089,1.0,0.412,0.846,0.487,0.539,0.904,0.895,0.939,0.954,0.997,0.957,0.46,0.901,0.511,0.54,0.945,0.037,1.015,0.037,0.506,0.073,0.702,0.922,0.761,1.044,0.729,0.053,1.101,0.048,0.484,0.1,282.505
1,8,12,5,2000000,60734090,1.0,0.415,0.817,0.508,0.555,0.915,0.89,0.925,0.962,0.995,0.967,0.467,0.884,0.528,0.558,0.946,0.038,1.016,0.037,0.513,0.072,0.522,0.922,0.566,1.08,0.524,0.072,1.103,0.065,0.475,0.137,262.733
1,8,12,5,2500000,60734091,1.0,0.404,0.853,0.474,0.53,0.894,0.897,0.957,0.938,0.994,0.943,0.45,0.891,0.506,0.533,0.948,0.036,1.021,0.035,0.44,0.08,0.566,0.922,0.614,1.0,0.614,0.063,1.107,0.057,0.44,0.13,133.739
1,8,12,5,3000000,60734092,1.0,0.407,0.838,0.485,0.544,0.893,0.88,0.947,0.929,0.988,0.94,0.462,0.885,0.523,0.55,0.95,0.036,1.018,0.036,0.475,0.075,0.489,0.915,0.535,1.015,0.527,0.074,1.113,0.067,0.467,0.143,123.16
