nodes,taskspernode,threadspertask,s,cpufreq,slurm_job_id,cnt,tpe,tlb,tce,tse,tte,tmpe,tmlb,tmce,tmse,tmte,tope,tolb,toce,tose,tote,epe,elb,ece,ese,ete,empe,emlb,emce,emse,emte,eope,eolb,eoce,eose,eote,total_time
1,64,1,5,2000000,60734146,1.0,0.368,0.742,0.495,0.84,0.59,0.398,0.742,0.536,0.84,0.638,0.924,1.0,0.924,1.0,0.924,0.206,0.622,0.332,2.172,0.153,0.238,0.622,0.383,2.172,0.176,0.866,1.0,0.866,1.0,0.866,327.068
1,64,1,5,2500000,60734147,1.0,0.392,0.759,0.516,0.837,0.616,0.427,0.759,0.563,0.837,0.672,0.917,1.0,0.917,1.0,0.917,0.218,0.615,0.355,2.173,0.164,0.235,0.615,0.383,2.173,0.176,0.928,1.0,0.928,1.0,0.928,298.999
1,64,1,5,3000000,60734148,1.0,0.534,0.952,0.561,0.987,0.569,0.7,0.952,0.735,0.987,0.745,0.763,1.0,0.763,1.0,0.763,0.293,0.905,0.323,1.011,0.32,0.693,0.905,0.765,1.011,0.757,0.423,1.0,0.423,1.0,0.423,292.827
1,64,1,5,3500000,60734149,1.0,0.465,0.796,0.584,0.873,0.669,0.525,0.796,0.659,0.873,0.755,0.886,1.0,0.886,1.0,0.886,0.255,0.7,0.364,1.704,0.214,0.291,0.7,0.415,1.704,0.244,0.877,1.0,0.877,1.0,0.877,287.193
1,64,1,5,3800000,60734150,1.0,0.43,0.771,0.558,0.87,0.641,0.476,0.771,0.617,0.87,0.709,0.904,1.0,0.904,1.0,0.904,0.236,0.603,0.392,1.705,0.23,0.238,0.603,0.395,1.705,0.232,0.991,1.0,0.991,1.0,0.991,280.528
1,64,1,10,1000000,60734151,1.0,0.509,0.818,0.622,0.997,0.624,0.652,0.818,0.798,0.997,0.8,0.78,1.0,0.78,1.0,0.78,0.281,0.832,0.338,1.062,0.318,0.53,0.832,0.637,1.062,0.6,0.53,1.0,0.53,1.0,0.53,662.571
1,64,1,10,1500000,60734152,1.0,0.548,0.936,0.586,0.962,0.608,0.718,0.936,0.767,0.962,0.797,0.763,1.0,0.763,1.0,0.763,0.303,0.896,0.339,1.021,0.332,0.653,0.896,0.729,1.021,0.714,0.465,1.0,0.465,1.0,0.465,535.473
1,64,1,10,2000000,60734153,1.0,0.409,0.748,0.546,0.833,0.656,0.449,0.748,0.6,0.833,0.72,0.911,1.0,0.911,1.0,0.911,0.23,0.649,0.354,1.843,0.192,0.252,0.649,0.389,1.843,0.211,0.91,1.0,0.91,1.0,0.91,474.445
1,64,1,10,2500000,60734154,1.0,0.444,0.748,0.593,0.861,0.688,0.49,0.748,0.655,0.861,0.761,0.905,1.0,0.905,1.0,0.905,0.247,0.656,0.376,1.929,0.195,0.245,0.656,0.373,1.929,0.193,1.009,1.0,1.009,1.0,1.009,426.853
1,64,1,10,3000000,60734155,1.0,0.479,0.805,0.594,0.849,0.7,0.538,0.805,0.668,0.849,0.787,0.89,1.0,0.89,1.0,0.89,0.265,0.697,0.381,1.891,0.201,0.285,0.697,0.41,1.891,0.217,0.929,1.0,0.929,1.0,0.929,421.88
1,64,1,10,3500000,60734156,1.0,0.466,0.773,0.603,0.878,0.686,0.522,0.773,0.676,0.878,0.769,0.892,1.0,0.892,1.0,0.892,0.256,0.689,0.372,1.697,0.219,0.274,0.689,0.398,1.697,0.234,0.935,1.0,0.935,1.0,0.935,402.439
1,64,1,10,3800000,60734157,1.0,0.42,0.786,0.534,0.839,0.636,0.463,0.786,0.589,0.839,0.702,0.907,1.0,0.907,1.0,0.907,0.232,0.668,0.348,1.788,0.195,0.265,0.668,0.397,1.788,0.222,0.877,1.0,0.877,1.0,0.877,409.796
1,64,1,20,1000000,60734158,1.0,0.497,0.726,0.685,0.996,0.688,0.609,0.726,0.839,0.996,0.842,0.816,1.0,0.816,1.0,0.816,0.256,0.838,0.306,1.038,0.295,0.441,0.838,0.527,1.038,0.508,0.581,1.0,0.581,1.0,0.581,1120.258
