rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,5.39017,4.42366,4.42366,20.5174,11.9869,11.9869,13.3242,450.714,888.413,888.413,4835.05,2996.21,2996.21,3809.58
1,0,5.39017,2.33882,2.33882,20.5173,15.9258,15.9258,16.974,450.714,382.074,382.074,4835.55,4233.83,4233.83,4829.09
2,0,5.39017,3.43245,3.43245,20.5172,13.1799,13.1799,14.7899,450.714,562.784,562.784,4841.73,3332.46,3332.46,4210.42
3,0,5.39017,3.37084,3.37084,20.5172,19.6231,19.6231,21.2384,450.714,506.66,506.66,4842.09,5161.61,5161.61,6068.73
4,0,5.39017,2.39943,2.39943,20.5172,11.1422,11.1422,12.2228,450.714,375.776,375.776,4834.78,2893.77,2893.77,3515.28
5,0,5.39017,3.45297,3.45297,20.5173,10.8632,10.8632,12.4281,450.714,540.948,540.948,4841.73,2691.02,2691.02,3569.87
6,0,5.39017,3.50552,3.50552,20.5172,10.4119,10.4119,11.9883,450.714,562.686,562.686,4841.73,2567.34,2567.34,3452.62
7,0,5.39017,3.45453,3.45453,20.5172,8.18165,8.18165,9.80527,450.714,542.943,542.943,4841.73,1974.81,1974.81,2874.27
8,0,5.39017,3.40196,3.40196,20.5173,12.5326,12.5326,14.0999,450.714,541.962,541.962,4842.09,3147.77,3147.77,4017.95
9,0,5.39017,3.47737,3.47737,20.5173,15.681,15.681,17.2467,450.714,561.048,561.048,4842.09,4032.31,4032.31,4906.77
10,0,5.39017,3.47876,3.47876,20.5172,13.2376,13.2376,14.803,450.714,546.347,546.347,4842.09,3328.95,3328.95,4213.8
11,0,5.39017,3.40609,3.40609,20.5173,19.4754,19.4754,21.0463,450.714,521.002,521.002,4842.09,5128.49,5128.49,6012.85
12,0,5.39017,3.39167,3.39167,20.5172,10.5507,10.5507,12.1803,450.714,520.928,520.928,4841.73,2599.51,2599.51,3504.15
13,0,5.39017,3.4392,3.4392,20.5172,10.8568,10.8568,12.446,450.714,532.823,532.823,4841.73,2685.4,2685.4,3574.8
14,0,5.39017,3.44057,3.44057,20.5172,10.4145,10.4145,12.0041,450.714,559.747,559.747,4841.73,2579.66,2579.66,3457.14
15,0,5.39017,3.48455,3.48455,20.5172,10.3112,10.3112,11.9608,450.714,549.243,549.243,4842.49,2484.76,2484.76,3445.29
16,0,5.39017,2.34021,2.34021,20.5173,13.1601,13.1601,14.2152,450.714,383.134,383.134,4835.55,3457.13,3457.13,4049.56
17,0,5.39017,3.4063,3.4063,20.5173,15.9364,15.9364,17.4865,450.714,541.028,541.028,4841.73,4117.98,4117.98,4975.73
18,0,5.39017,3.47897,3.47897,20.5173,13.0206,13.0206,14.59,450.714,539.884,539.884,4842.09,3269.22,3269.22,4154.14
19,0,5.39017,3.3896,3.3896,20.5173,18.7085,18.7085,20.2817,450.714,534.095,534.095,4842.49,4908.82,4908.82,5789.98
20,0,5.39017,3.44363,3.44363,20.5173,10.664,10.664,12.2213,450.714,545.58,545.58,4841.73,2644.18,2644.18,3515
21,0,5.39017,3.5448,3.5448,20.5173,10.9351,10.9351,12.4784,450.714,597.373,597.373,4841.73,2721.44,2721.44,3583.59
22,0,5.39017,3.5673,3.5673,20.5172,10.4779,10.4779,12.0283,450.714,588.547,588.547,4841.73,2593.26,2593.26,3463.48
23,0,5.39017,3.62393,3.62393,20.5172,10.3292,10.3292,11.9662,450.714,601.568,601.568,4842.09,2495.87,2495.87,3446.76
24,0,5.39017,3.47252,3.47252,20.5173,12.635,12.635,14.2029,450.714,569.048,569.048,4842.09,3183.52,3183.52,4046.56
25,0,5.39017,3.53493,3.53493,20.5173,15.5042,15.5042,17.0453,450.714,574.203,574.203,4841.73,3982.55,3982.55,4849
26,0,5.39017,3.55636,3.55636,20.5173,13.8984,13.8984,15.4514,450.714,583.653,583.653,4842.09,3529.26,3529.26,4400.78
27,0,5.39017,3.63044,3.63044,20.5172,10.565,10.565,12.2097,450.714,583.847,583.847,4841.73,2550.75,2550.75,3511.71
28,0,5.39017,3.5641,3.5641,20.5173,10.7383,10.7383,12.3919,450.714,551.519,551.519,4842.09,2585.85,2585.85,3560.43
29,0,5.39017,3.63537,3.63537,20.5172,10.376,10.376,12.0224,450.714,609.905,609.905,4841.73,2519.74,2519.74,3461.87
30,0,5.39017,3.60636,3.60636,20.5173,13.2723,13.2723,14.9095,450.714,590.961,590.961,4842.09,3291.9,3291.9,4243.87
31,0,5.39017,3.51477,3.51477,20.5173,15.3969,15.3969,17.0303,450.714,561.332,561.332,4842.86,3894.33,3894.33,4844.98
32,0,5.39017,3.39995,3.39995,20.5173,13.9145,13.9145,15.4871,450.714,548.879,548.879,4842.49,3544.69,3544.69,4410.87
33,0,5.39017,3.51571,3.51571,20.5172,10.6842,10.6842,12.2732,450.714,566.507,566.507,4841.73,2644.13,2644.13,3528.93
34,0,5.39017,3.52577,3.52577,20.5173,10.7757,10.7757,12.363,450.714,566.085,566.085,4841.73,2668.23,2668.23,3552.68
35,0,5.39017,3.5617,3.5617,20.5172,10.4099,10.4099,12.0631,450.714,593.349,593.349,4842.49,2531.19,2531.19,3472.79
36,0,5.39017,3.47997,3.47997,20.5173,12.9001,12.9001,14.4686,450.714,543.958,543.958,4842.09,3228.63,3228.63,4119.98
37,0,5.39017,3.54671,3.54671,20.5173,15.5149,15.5149,17.0557,450.714,594.685,594.685,4841.73,3994.83,3994.83,4852.22
38,0,5.39017,3.68202,3.68202,20.5173,13.3339,13.3339,14.942,450.714,617.87,617.87,4842.09,3305.22,3305.22,4252.94
39,0,5.39017,3.63104,3.63104,20.5173,10.6261,10.6261,12.2728,450.714,593.243,593.243,4841.73,2567.88,2567.88,3528.47
40,0,5.39017,3.63202,3.63202,20.5172,10.7628,10.7628,12.4066,450.714,585.037,585.037,4841.73,2594.62,2594.62,3564.31
41,0,5.39017,3.69915,3.69915,20.5172,10.4327,10.4327,12.048,450.714,616.559,616.559,4841.73,2517.83,2517.83,3468.91
42,0,5.39017,3.67901,3.67901,20.5172,12.3418,12.3418,13.9571,450.714,629.717,629.717,4842.09,3049.31,3049.31,3979.26
43,0,5.39017,3.57491,3.57491,20.5172,18.5063,18.5063,20.1304,450.714,578.802,578.802,4842.49,4799.58,4799.58,5745.03
44,0,5.39017,3.51957,3.51957,20.5174,13.403,13.403,15.039,450.714,549.25,549.25,4842.86,3326.92,3326.92,4281.1
45,0,5.39017,3.59947,3.59947,20.5173,10.6392,10.6392,12.2735,450.714,576.61,576.61,4841.73,2564.69,2564.69,3528.93
46,0,5.39017,3.60949,3.60949,20.5172,10.6015,10.6015,12.2417,450.714,599.384,599.384,4842.09,2577.54,2577.54,3520.41
47,0,5.39017,3.54992,3.54992,20.5173,10.3644,10.3644,12.0164,450.714,541.034,541.034,4842.49,2474.9,2474.9,3460.36
48,0,5.39017,3.46647,3.46647,20.5172,12.5385,12.5385,14.1846,450.714,561.309,561.309,4843.25,3098.6,3098.6,4041.49
49,0,5.39017,3.51364,3.51364,20.5173,15.4722,15.4722,17.1046,450.714,530.427,530.427,4843.25,3886.77,3886.77,4865.81
