rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,404.067,403.977,157.572,462.646,412.917,166.52,548.025,487.866,284.526,38338.1,53952,3893.92,40693.3,140508
7,0,404.067,357.264,124.123,462.646,453.946,220.805,548.162,487.866,27061.9,30052.4,53961.7,52317,55307.6,140533
14,0,404.067,362.063,127.597,462.646,454.514,220.048,548.061,487.866,27717.7,30523.6,53961.1,51895,54700.9,140515
2,0,404.067,358.808,124.801,462.646,454.1,220.093,548.151,487.866,27009,29766.6,53961.7,51959.3,54716.9,140531
17,0,404.067,359.333,125.675,462.646,455.087,221.429,548.909,487.866,27200.5,29770.4,53961.4,52160.9,54730.8,140681
3,0,404.067,359.244,128.585,462.646,455.384,224.725,548.869,487.866,27228.4,29711.5,53960.9,52386.6,54869.7,140673
25,0,404.067,371.253,128.618,462.646,455.088,212.453,552.617,487.866,28100.8,30911.7,53960.3,49677.1,52488,141442
19,0,404.067,368.241,141.921,462.646,454.393,228.073,554.013,487.866,28478.4,32578.9,53959.9,50683.1,54783.6,141726
12,0,404.067,368.826,130.535,462.646,456.498,218.206,553.919,487.866,28717.8,31774.8,53960,51324.6,54381.5,141706
23,0,404.067,352.926,125.488,462.646,450.282,222.844,548.503,487.866,28365.4,31830.5,53962,53655.1,57120.2,140599
22,0,404.067,354.919,128.818,462.646,447.917,221.815,548.474,487.866,29233.4,32677.8,53960.9,53567,57011.4,140593
1,0,404.067,351.814,127.152,462.646,445.875,221.213,548.624,487.866,29608.6,33042.7,53960.9,54259.6,57693.7,140623
9,0,404.067,358.206,128.135,462.646,452.759,222.688,548.121,487.866,27646.8,30750,53961.1,52434.9,55538,140526
24,0,404.067,359.468,122.461,462.646,452.442,215.436,548.708,487.866,27334,30943.7,53961.7,51497.1,55106.7,140640
15,0,404.067,355.863,128.326,462.646,448.947,221.41,548.361,487.866,28473.4,32507,53961.4,52834.9,56868.5,140572
26,0,404.067,366.624,136.69,462.646,456.577,226.643,553.797,487.866,27794.8,30256.2,53960.9,50913.1,53374.5,141682
6,0,404.067,361.777,126.892,462.646,448.22,213.335,551.072,487.866,28819.3,32349.6,53960,51301.3,54831.6,141127
11,0,404.067,369.556,130.744,462.646,454.83,216.018,552.551,487.866,28515.7,31086,53959.9,50584,53154.2,141428
5,0,404.067,370.061,130.954,462.646,457.021,217.913,554.141,487.866,28455.8,31003.7,53960,50864,53411.9,141752
21,0,404.067,357.836,124.572,462.646,453.207,219.943,548.091,487.866,27280.8,30143.3,53961.7,52228.7,55091.3,140520
16,0,404.067,359.346,127.086,462.646,455.582,223.323,548.471,487.866,27528.4,29808.8,53961.4,52661,54941.3,140593
20,0,404.067,365.476,130.75,462.646,454.331,219.605,552.324,487.866,27921.1,30308.5,53960.3,50961.9,53349.3,141382
13,0,404.067,370.314,133.565,462.646,454.719,217.97,552.206,487.866,29591.5,31933.9,53959.9,51442.5,53784.8,141358
8,1,404.044,349.783,188.608,462.601,455.278,188.608,548.56,482.411,26572.6,15639,53950.3,54137.3,15639,140611
4,1,404.055,370.124,203.146,462.611,455.204,203.146,552.031,482.77,28829.3,16263.3,53950.4,50839.7,16263.3,141322
18,1,404.049,362.073,207.321,462.605,447.176,207.321,552.64,487.531,29669.8,18047,53955.2,51696.8,18047,141447
10,1,404.05,360.484,195.355,462.606,455.211,195.355,549.01,484.65,27817.6,15922.7,53952,52523.9,15922.7,140702
7,1,404.048,357.256,194.329,462.604,453.907,194.329,548.162,480.724,27060.1,15969.4,53948.9,52306.9,15969.4,140533
14,1,404.051,362.057,197.995,462.608,454.477,197.995,548.061,482.921,27716.4,15877.5,53951.9,51885.4,15877.5,140515
2,1,404.049,358.8,196.214,462.605,454.061,196.214,548.151,481.817,27006.7,16110.8,53950,51949.2,16110.8,140531
17,1,404.05,359.326,256.74,462.606,455.049,256.74,548.909,483.555,27199,14869.2,53952.4,52151,14869.2,140681
3,1,404.053,359.239,198.469,462.609,455.347,198.469,548.869,484.069,27227.4,15952.3,53951.5,52377.2,15952.3,140673
24,1,404.048,359.46,200.167,462.603,452.403,200.167,548.708,482.46,27332.2,16421.1,53949.6,51487,16421.1,140640
25,1,404.054,371.25,204.311,462.61,455.054,204.311,552.617,482.648,28100.4,16356.9,53950.4,49668.4,16356.9,141442
19,1,404.053,368.24,205.049,462.609,454.361,205.049,554.013,483.276,28478.4,16511.9,53951.2,50674.8,16511.9,141726
12,1,404.053,368.825,269.269,462.61,456.465,269.269,553.919,486.829,28717.6,15192.7,53953.5,51316.1,15192.7,141706
23,1,404.045,352.917,254.161,462.601,450.241,254.161,548.503,484.223,28363.3,16286.6,53951.9,53644.7,16286.6,140599
22,1,404.046,354.914,192.73,462.604,447.88,192.73,548.474,481.532,29232.3,17326.7,53949.5,53557.6,17326.7,140593
0,1,404.067,403.977,242.745,462.624,412.916,242.745,548.025,487.866,284.526,23766.3,53954.5,3893.48,23766.3,140508
1,1,404.049,351.809,194.746,462.606,445.839,194.746,548.624,485.473,29607.5,18071.1,53952.6,54250.2,18071.1,140623
