rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,1058.89,1045.06,385.653,1096.96,1062.32,402.91,1160.7,13305.4,14901.8,21179.9,24471.2,17523.2,23801.3,173169
3,0,1058.89,1025.89,411.309,1096.96,1077.41,462.833,1164.29,13305.4,13162.5,14769.3,24477,21020.9,22627.7,173550
5,0,1058.89,1037.6,400.193,1096.96,1087.8,450.391,1163.7,13305.4,12788.4,14770.7,24474.8,20449.7,22432,173488
4,0,1058.89,1053.66,391.667,1096.96,1086.57,424.581,1162.59,13305.4,12987.5,14948.9,24473.1,17985.2,19946.7,173370
2,0,1058.89,970.571,379.988,1096.96,1090.86,500.287,1160.56,13305.4,12254.1,13806.1,24483.7,31135.1,32686.3,173155
1,0,1058.89,945.777,376.503,1096.96,1090.03,520.761,1160.51,13305.4,12172.3,14696.1,24486.1,34746.8,37270.5,173149
3,1,1058.81,959.172,485.473,1096.87,1091.84,485.473,1161.11,13304.3,11910.3,6938.31,24471,32702.1,6938.31,173213
7,1,1058.86,1025.89,523.731,1096.91,1077.37,523.731,1164.29,13305.4,13162.3,7769.3,24472.1,21014.9,7769.3,173550
0,1,1058.88,1045.06,508.056,1096.94,1062.32,508.056,1160.7,13305.8,14901.6,9352.25,24472.5,17523,9352.25,173169
5,1,1058.87,1037.6,529.055,1096.93,1087.77,529.055,1163.7,13304.9,12788.2,7671.78,24471.6,20445.9,7671.78,173488
6,1,1058.89,1051.52,532.838,1096.94,1087.49,532.838,1164.41,13305.2,12912.2,8225.81,24472,18284.5,8225.81,173564
4,1,1058.88,1053.66,537.708,1096.94,1086.56,537.708,1162.59,13305.3,12987.5,7698.9,24471.6,17983.3,7698.9,173370
2,1,1058.82,970.57,497.059,1096.88,1090.78,497.059,1160.56,13304.2,12253.9,7151.97,24471,31122.3,7151.97,173155
1,1,1058.8,945.775,482.321,1096.86,1089.93,482.321,1160.51,13306.7,12172.1,7597.16,24473,34731.7,7597.16,173149
3,2,1058.81,959.173,387.262,1096.87,1091.85,387.262,1161.11,13304.3,11910.3,7008.12,24471,32702.1,7008.12,173213
7,2,1058.86,1025.89,496.811,1096.91,1077.37,496.811,1164.29,13305.4,13162.3,7618.33,24472.1,21014.9,7618.33,173550
0,2,1058.88,1045.06,493.551,1096.94,1062.32,493.551,1160.7,13305.8,14901.6,9533.5,24472.5,17523,9533.5,173169
5,2,1058.87,1037.6,572.686,1096.93,1087.77,572.686,1163.7,13304.9,12788.2,7460.99,24471.6,20445.9,7460.99,173488
6,2,1058.89,1051.52,422.153,1096.94,1087.49,422.153,1164.41,13305.2,12912.2,8435.61,24472,18284.5,8435.61,173564
4,2,1058.88,1053.66,467.285,1096.94,1086.56,467.285,1162.59,13305.1,12987.3,7748.45,24471.4,17983.1,7748.45,173370
2,2,1058.82,970.57,478.985,1096.88,1090.78,478.985,1160.56,13304.2,12253.9,7137.52,24471,31122.3,7137.52,173155
1,2,1058.8,945.776,459.264,1096.86,1089.93,459.264,1160.51,13306.7,12172.1,7528.94,24473,34731.7,7528.94,173149
3,3,1058.81,959.172,523.231,1096.87,1091.85,523.231,1161.11,13304.3,11910.3,6860.02,24471,32702.1,6860.02,173213
7,3,1058.86,1025.89,415.339,1096.91,1077.37,415.339,1164.29,13305.4,13162.3,7762.46,24472.1,21014.9,7762.46,173550
0,3,1058.88,1045.06,472.198,1096.94,1062.32,472.198,1160.7,13305.8,14901.6,9355.01,24472.5,17523,9355.01,173169
5,3,1058.87,1037.6,558.872,1096.93,1087.77,558.872,1163.7,13304.9,12788.2,7512.15,24471.6,20445.9,7512.15,173488
6,3,1058.89,1051.52,502.467,1096.94,1087.49,502.467,1164.41,13305.2,12912.2,8429.3,24472,18284.5,8429.3,173564
4,3,1058.88,1053.66,506.439,1096.94,1086.56,506.439,1162.59,13305.1,12987.3,7728.56,24471.4,17983.1,7728.56,173370
2,3,1058.82,970.571,407.163,1096.88,1090.78,407.163,1160.56,13304.2,12253.9,7203.67,24471,31122.3,7203.67,173155
1,3,1058.8,945.775,392.366,1096.86,1089.93,392.366,1160.51,13306.7,12172.1,7537.43,24473,34731.7,7537.43,173149
3,4,1058.81,959.173,470.314,1096.87,1091.85,470.314,1161.11,13304.3,11910.3,6957.66,24471,32702.1,6957.66,173213
7,4,1058.86,1025.89,460.05,1096.91,1077.37,460.05,1164.29,13305.4,13162.3,7666.87,24472.1,21014.9,7666.87,173550
0,4,1058.88,1045.06,549.768,1096.94,1062.32,549.768,1160.7,13305.8,14901.6,9238.46,24472.5,17523,9238.46,173169
5,4,1058.87,1037.6,492.433,1096.93,1087.77,492.433,1163.7,13304.9,12788.2,7647.33,24471.6,20445.9,7647.33,173488
6,4,1058.89,1051.52,564.998,1096.94,1087.49,564.998,1164.41,13305.2,12912.2,8242.79,24472,18284.5,8242.79,173564
4,4,1058.88,1053.66,500.756,1096.94,1086.56,500.756,1162.59,13305.1,12987.3,7640.36,24471.4,17983.1,7640.36,173370
2,4,1058.82,970.57,437.428,1096.88,1090.78,437.428,1160.56,13304.2,12253.9,7063.8,24471,31122.3,7063.8,173155
1,4,1058.8,945.775,501.235,1096.86,1089.93,501.235,1160.51,13306.7,12172.1,7469.32,24473,34731.7,7469.32,173149
3,5,1058.81,959.172,443.746,1096.87,1091.84,443.746,1161.11,13304.3,11910.3,6893.61,24471,32702.1,6893.61,173213
7,5,1058.86,1025.89,558.157,1096.92,1077.38,558.157,1164.29,13305.4,13162.3,7475.15,24472.1,21014.9,7475.15,173550
0,5,1058.88,1045.06,439.543,1096.94,1062.32,439.543,1160.7,13305.8,14901.6,9430.17,24472.5,17523,9430.17,173169
5,5,1058.87,1037.6,412.516,1096.93,1087.77,412.516,1163.7,13304.9,12788.2,7707.54,24471.6,20445.9,7707.54,173488
6,5,1058.89,1051.52,578.631,1096.94,1087.49,578.631,1164.41,13305.3,12912.3,7917.14,24472.1,18284.6,7917.14,173564
4,5,1058.88,1053.66,575.138,1096.94,1086.56,575.138,1162.59,13305.1,12987.3,7620.63,24471.4,17983.1,7620.63,173370
2,5,1058.82,970.57,523.027,1096.88,1090.78,523.027,1160.56,13304.4,12254.1,6966.93,24471.2,31122.5,6966.93,173155
1,5,1058.8,945.775,498.446,1096.86,1089.93,498.446,1160.51,13306.7,12172.1,7638.92,24473,34731.7,7638.92,173149
3,6,1058.81,959.172,506.045,1096.87,1091.84,506.045,1161.11,13304.3,11910.3,6926.82,24471,32702.1,6926.82,173213
7,6,1058.86,1025.89,547.103,1096.91,1077.37,547.103,1164.29,13305.4,13162.3,7473.66,24472.1,21014.9,7473.66,173550
0,6,1058.88,1045.06,533.001,1096.94,1062.32,533.001,1160.7,13305.8,14901.6,9133.63,24472.5,17523,9133.63,173169
5,6,1058.87,1037.6,505.723,1096.93,1087.77,505.723,1163.7,13304.9,12788.2,7673.96,24471.6,20445.9,7673.96,173488
6,6,1058.89,1051.52,486.327,1096.94,1087.49,486.327,1164.41,13305.2,12912.2,8270.57,24472,18284.5,8270.57,173564
4,6,1058.88,1053.66,565.212,1096.94,1086.56,565.212,1162.59,13305.1,12987.3,7590.84,24471.4,17983.1,7590.84,173370
2,6,1058.82,970.571,516.311,1096.88,1090.78,516.311,1160.56,13304.2,12253.9,6954.13,24471,31122.3,6954.13,173155
1,6,1058.8,945.775,511.6,1096.86,1089.93,511.6,1160.51,13306.7,12172.1,7250.73,24473,34731.7,7250.73,173149
3,7,1058.81,959.172,513.63,1096.87,1091.84,513.63,1161.11,13304.3,11910.3,6960.71,24471,32702.1,6960.71,173213
7,7,1058.86,1025.89,392.795,1096.91,1077.37,392.795,1164.29,13305.4,13162.3,7635.96,24472.1,21014.9,7635.96,173550
0,7,1058.88,1045.06,538.909,1096.94,1062.32,538.909,1160.7,13305.8,14901.6,9392.97,24472.5,17523,9392.97,173169
5,7,1058.87,1037.6,550.473,1096.93,1087.77,550.473,1163.7,13304.9,12788.2,7508.88,24471.6,20445.9,7508.88,173488
6,7,1058.89,1051.52,555.506,1096.94,1087.49,555.506,1164.41,13305.2,12912.2,8175.13,24472,18284.5,8175.13,173564
4,7,1058.88,1053.66,410.916,1096.94,1086.56,410.916,1162.59,13305.1,12987.3,7660.78,24471.4,17983.1,7660.78,173370
2,7,1058.82,970.571,510.63,1096.88,1090.78,510.63,1160.56,13304.2,12253.9,6948.55,24471,31122.3,6948.55,173155
1,7,1058.8,945.775,426.142,1096.86,1089.93,426.142,1160.51,13306.7,12172.1,7348.47,24473,34731.7,7348.47,173149
3,8,1058.81,959.172,512.604,1096.87,1091.84,512.604,1161.11,13304.3,11910.3,6797.52,24471,32702.1,6797.52,173213
7,8,1058.86,1025.89,540.03,1096.91,1077.37,540.03,1164.29,13305.4,13162.3,7581.09,24472.1,21014.9,7581.09,173550
0,8,1058.88,1045.06,407.372,1096.94,1062.32,407.372,1160.7,13305.8,14901.6,9551.57,24472.5,17523,9551.57,173169
5,8,1058.87,1037.6,410.871,1096.93,1087.77,410.871,1163.7,13304.9,12788.2,7675.88,24471.6,20445.9,7675.88,173488
6,8,1058.89,1051.52,438.715,1096.94,1087.49,438.715,1164.41,13305.2,12912.2,8495.7,24472,18284.5,8495.7,173564
4,8,1058.88,1053.66,555.41,1096.94,1086.56,555.41,1162.59,13305.1,12987.3,7620.17,24471.4,17983.1,7620.17,173370
2,8,1058.82,970.57,395.889,1096.88,1090.78,395.889,1160.56,13304.2,12253.9,7064.95,24471,31122.3,7064.95,173155
1,8,1058.8,945.776,505.245,1096.86,1089.93,505.245,1160.51,13306.8,12172.3,7405.37,24473.1,34731.9,7405.37,173149
3,9,1058.81,959.172,501.384,1096.87,1091.84,501.384,1161.11,13304.3,11910.3,6985.13,24471,32702.1,6985.13,173213
7,9,1058.86,1025.89,549.287,1096.91,1077.37,549.287,1164.29,13305.4,13162.3,7505.09,24472.1,21014.9,7505.09,173550
0,9,1058.88,1045.06,540.876,1096.94,1062.32,540.876,1160.7,13305.8,14901.6,9250.4,24472.5,17523,9250.4,173169
5,9,1058.87,1037.6,559.001,1096.93,1087.77,559.001,1163.7,13304.9,12788.2,7512.55,24471.6,20445.9,7512.55,173488
6,9,1058.89,1051.52,575.722,1096.94,1087.49,575.722,1164.41,13305.2,12912.2,7920.45,24472,18284.5,7920.45,173564
4,9,1058.88,1053.66,549.81,1096.94,1086.56,549.81,1162.59,13305.1,12987.3,7607.22,24471.4,17983.1,7607.22,173370
2,9,1058.82,970.571,507.131,1096.88,1090.78,507.131,1160.56,13304.2,12253.9,7130.55,24471,31122.3,7130.55,173155
1,9,1058.8,945.776,384.769,1096.86,1089.93,384.769,1160.51,13306.7,12172.1,7571.78,24473,34731.7,7571.78,173149
3,10,1058.81,959.173,385.885,1096.87,1091.85,385.885,1161.11,13304.3,11910.3,6973.99,24471,32702.1,6973.99,173213
7,10,1058.86,1025.89,534.035,1096.92,1077.37,534.035,1164.29,13305.4,13162.3,7516.19,24472.1,21014.9,7516.19,173550
0,10,1058.88,1045.06,528.761,1096.94,1062.32,528.761,1160.7,13305.8,14901.6,9480.45,24472.5,17523,9480.45,173169
5,10,1058.87,1037.6,544.601,1096.93,1087.77,544.601,1163.7,13304.9,12788.2,7568.49,24471.6,20445.9,7568.49,173488
6,10,1058.89,1051.52,549.128,1096.94,1087.49,549.128,1164.41,13305.2,12912.2,8341.74,24472,18284.5,8341.74,173564
4,10,1058.88,1053.66,563.03,1096.94,1086.56,563.03,1162.59,13305.1,12987.3,7575.86,24471.4,17983.1,7575.86,173370
2,10,1058.82,970.571,519.83,1096.88,1090.78,519.83,1160.56,13304.2,12253.9,7020.73,24471,31122.3,7020.73,173155
1,10,1058.8,945.776,492.784,1096.86,1089.93,492.784,1160.51,13306.7,12172.1,7615.33,24473,34731.7,7615.33,173149
3,11,1058.81,959.172,488.857,1096.87,1091.84,488.857,1161.11,13304.3,11910.3,6852.1,24471,32702.1,6852.1,173213
7,11,1058.86,1025.89,526.544,1096.91,1077.37,526.544,1164.29,13305.4,13162.3,7636.19,24472.1,21014.9,7636.19,173550
0,11,1058.88,1045.06,519.39,1096.94,1062.32,519.39,1160.7,13305.8,14901.6,9761.17,24472.5,17523,9761.17,173169
5,11,1058.87,1037.6,536.355,1096.93,1087.77,536.355,1163.7,13305.1,12788.4,7567.83,24471.8,20446,7567.83,173488
6,11,1058.89,1051.52,544.657,1096.94,1087.49,544.657,1164.41,13305.2,12912.2,8243.84,24472,18284.5,8243.84,173564
4,11,1058.88,1053.66,543.599,1096.94,1086.56,543.599,1162.59,13305.1,12987.3,7645.31,24471.4,17983.1,7645.31,173370
