rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,70.4822,58.8922,58.8922,100.188,78.9217,78.9217,102.017,5803.82,10636.1,10636.1,25417.1,16487.8,16487.8,28700.9
1,0,70.4822,40.1417,40.1417,100.188,81.2144,81.2144,100.217,5803.82,6380.53,6380.53,25420.3,18277.1,18277.1,28221.6
2,0,70.4822,50.1404,50.1404,100.188,78.0473,78.0473,102.267,5803.82,7746.86,7746.86,25420.3,16191.9,16191.9,28775.4
3,0,70.4822,47.094,47.094,100.188,80.5359,80.5359,102.796,5803.82,6940.28,6940.28,25423,16891.7,16891.7,28934.7
4,0,70.4822,40.7199,40.7199,100.188,89.8424,89.8424,109.113,5803.82,6334.04,6334.04,25420.3,20593.4,20593.4,30802.8
5,0,70.4822,50.8923,50.8923,100.188,83.3318,83.3318,107.156,5803.82,7934.93,7934.93,25419.9,17748.7,17748.7,30240.1
6,0,70.4822,50.155,50.155,100.188,86.424,86.424,109.083,5803.82,7735.78,7735.78,25420.6,18602.5,18602.5,30793.6
7,0,70.4822,50.0282,50.0282,100.188,83.2231,83.2231,106.865,5803.82,7576.05,7576.05,25420.7,17583.7,17583.7,30156.1
8,0,70.4822,48.8108,48.8108,100.188,79.3438,79.3438,102.093,5803.82,7245.11,7245.11,25421.8,16431.3,16431.3,28722.7
9,0,70.4822,50.8042,50.8042,100.188,78.8931,78.8931,102.661,5803.82,7969.62,7969.62,25420.3,16464,16464,28893.7
10,0,70.4822,50.8659,50.8659,100.188,76.217,76.217,100.083,5803.82,8010.24,8010.24,25420.3,15782.9,15782.9,28187.4
11,0,70.4822,50.0986,50.0986,100.188,78.6498,78.6498,102.778,5803.82,7754.11,7754.11,25420.3,16415.2,16415.2,28928.7
12,0,70.4822,49.5349,49.5349,100.188,84.4404,84.4404,108.753,5803.82,7485.56,7485.56,25420.3,18015,18015,30699.5
13,0,70.4822,50.4345,50.4345,100.188,82.9143,82.9143,107.22,5803.82,7788.39,7788.39,25419.5,17645,17645,30258.5
14,0,70.4822,49.7427,49.7427,100.188,84.6001,84.6001,107.961,5803.82,7432.23,7432.23,25421.1,17960.8,17960.8,30472.4
15,0,70.4822,49.3476,49.3476,100.188,77.9495,77.9495,102.065,5803.82,7437.68,7437.68,25421.1,15816.4,15816.4,28714.3
16,0,70.4822,39.466,39.466,100.188,84.3547,84.3547,102.656,5803.82,6061.1,6061.1,25421.8,19026.4,19026.4,28891.9
17,0,70.4822,50.2654,50.2654,100.188,78.9519,78.9519,102.478,5803.82,7772.42,7772.42,25420.7,16417.4,16417.4,28839.3
18,0,70.4822,50.5541,50.5541,100.188,79.4678,79.4678,102.844,5803.82,7815.11,7815.11,25420.3,16551.3,16551.3,28948.8
19,0,70.4822,49.3076,49.3076,100.188,85.6664,85.6664,108.794,5803.82,7460.92,7460.92,25420.6,18376.2,18376.2,30711
20,0,70.4822,50.635,50.635,100.188,83.6661,83.6661,107.138,5803.82,7797.37,7797.37,25420.3,17795.6,17795.6,30234.7
21,0,70.4822,51.5984,51.5984,100.188,85.9656,85.9656,108.899,5803.82,8115.64,8115.64,25419.9,18448.5,18448.5,30741.1
22,0,70.4822,51.6964,51.6964,100.188,78.66,78.66,102.111,5803.82,8280.04,8280.04,25420.3,16497.1,16497.1,28728.6
23,0,70.4822,51.2594,51.2594,100.188,78.5593,78.5593,102.59,5803.82,8166.39,8166.39,25420.7,16149.5,16149.5,28872.3
24,0,70.4822,50.8074,50.8074,100.188,78.3109,78.3109,102.152,5803.82,7949.57,7949.57,25420.7,16273.8,16273.8,28740.8
25,0,70.4822,51.5104,51.5104,100.188,79.4417,79.4417,102.49,5803.82,8175.98,8175.98,25420.3,16611.6,16611.6,28842.3
26,0,70.4822,51.9224,51.9224,100.188,85.1947,85.1947,108.694,5803.82,8418.63,8418.63,25419.9,18411.1,18411.1,30682.3
27,0,70.4822,51.3952,51.3952,100.188,83.3806,83.3806,107.115,5803.82,7995.26,7995.26,25420.3,17425.3,17425.3,30228.5
28,0,70.4822,49.8875,49.8875,100.188,85.4804,85.4804,108.819,5803.82,7590.38,7590.38,25421.1,18005.2,18005.2,30718.6
29,0,70.4822,50.9892,50.9892,100.188,78.5429,78.5429,102.138,5803.82,7938.79,7938.79,25420.3,16030,16030,28736
30,0,70.4822,51.1669,51.1669,100.188,78.4679,78.4679,102.578,5803.82,8158.64,8158.64,25419.9,16143.5,16143.5,28868.4
31,0,70.4822,49.4415,49.4415,100.188,79.0539,79.0539,102.384,5803.82,7503.03,7503.03,25421.8,16162.7,16162.7,28811.9
32,0,70.4822,48.2124,48.2124,100.188,79.9399,79.9399,102.465,5803.82,7304.92,7304.92,25422.2,16746,16746,28835.1
33,0,70.4822,51.1282,51.1282,100.188,88.341,88.341,112.344,5803.82,7981.35,7981.35,25419.9,19204.7,19204.7,31783
34,0,70.4822,51.1215,51.1215,100.188,83.2163,83.2163,107.092,5803.82,7971.02,7971.02,25419.9,17673.9,17673.9,30221.4
35,0,70.4822,50.9293,50.9293,100.188,84.1637,84.1637,108.754,5803.82,7896.32,7896.32,25419.9,17635.8,17635.8,30699.5
36,0,70.4822,50.9269,50.9269,100.188,78.1003,78.1003,102.115,5803.82,7994.54,7994.54,25420.3,16204.2,16204.2,28729.5
37,0,70.4822,51.3539,51.3539,100.188,79.923,79.923,102.826,5803.82,8207.05,8207.05,25421.1,16852,16852,28943.9
38,0,70.4822,52.0227,52.0227,100.188,78.9191,78.9191,102.433,5803.82,8437.38,8437.38,25420.3,16283.6,16283.6,28826
39,0,70.4822,50.9218,50.9218,100.188,79.0738,79.0738,102.795,5803.82,8067.48,8067.48,25421.1,16294.6,16294.6,28934.7
40,0,70.4822,51.2164,51.2164,100.188,85.2212,85.2212,109.052,5803.82,8056.93,8056.93,25420.3,18039.6,18039.6,30785.3
41,0,70.4822,52.2802,52.2802,100.188,83.7039,83.7039,106.91,5803.82,8373.69,8373.69,25420.3,17592.6,17592.6,30169.4
42,0,70.4822,52.3886,52.3886,100.188,84.7168,84.7168,108.075,5803.82,8440.18,8440.18,25420.3,17914.1,17914.1,30505.1
43,0,70.4822,50.4842,50.4842,100.188,78.4585,78.4585,102.001,5803.82,7852.53,7852.53,25420.7,16035.1,16035.1,28696.1
44,0,70.4822,50.1279,50.1279,100.188,78.5045,78.5045,102.679,5803.82,7807.61,7807.61,25420.7,16157.8,16157.8,28899.7
45,0,70.4822,50.7627,50.7627,100.188,78.3623,78.3623,102.42,5803.82,7984.83,7984.83,25420.3,16077.1,16077.1,28822.2
46,0,70.4822,50.0354,50.0354,100.188,79.4184,79.4184,102.591,5803.82,7786.25,7786.25,25421.5,16376,16376,28872.8
47,0,70.4822,50.3598,50.3598,100.188,85.2789,85.2789,109.629,5803.82,7748.42,7748.42,25419.9,18009.3,18009.3,30957.2
48,0,70.4822,50.3502,50.3502,100.188,82.2771,82.2771,107.08,5803.82,7739.53,7739.53,25420.3,17096.9,17096.9,30218.1
49,0,70.4822,50.0606,50.0606,100.188,84.9192,84.9192,108.557,5803.82,7622.48,7622.48,25420.6,17834.3,17834.3,30643
50,0,70.4822,50.2547,50.2547,100.188,77.7829,77.7829,102.009,5803.82,7692.26,7692.26,25421.5,15767,15767,28698.5
51,0,70.4822,48.6745,48.6745,100.188,79.195,79.195,102.703,5803.82,7234.12,7234.12,25422.3,16141.7,16141.7,28906.7
52,0,70.4822,50.0867,50.0867,100.188,83.4041,83.4041,107.064,5803.82,7536.24,7536.24,25421.1,17314.3,17314.3,30213.5
53,0,70.4822,50.6341,50.6341,100.188,85.0923,85.0923,108.59,5803.82,7845.61,7845.61,25420.7,17933.8,17933.8,30652.8
54,0,70.4822,50.5028,50.5028,100.188,78.228,78.228,101.841,5803.82,7919.23,7919.23,25421.1,16029.3,16029.3,28649.3
55,0,70.4822,50.093,50.093,100.188,82.2733,82.2733,106.054,5803.82,7596.11,7596.11,25420.7,17066.8,17066.8,29918.6
56,0,70.4822,50.7788,50.7788,100.188,83.8419,83.8419,108.396,5803.82,7829.7,7829.7,25420.3,17567.8,17567.8,30597
57,0,70.4822,50.647,50.647,100.188,77.9284,77.9284,102.028,5803.82,8070.92,8070.92,25420.3,16069.3,16069.3,28704.4
58,0,70.4822,50.5469,50.5469,100.188,83.1502,83.1502,106.617,5803.82,7747.38,7747.38,25420.3,17351.5,17351.5,30084.6
59,0,70.4822,50.9004,50.9004,100.188,83.7693,83.7693,108.499,5803.82,7845.64,7845.64,25421.1,17447.5,17447.5,30626.6
60,0,70.4822,47.9074,47.9074,100.188,79.0822,79.0822,102.024,5803.82,7184.47,7184.47,25423.3,16107.6,16107.6,28702.1
61,0,70.4822,50.8097,50.8097,100.188,82.0776,82.0776,106.669,5803.82,7857.38,7857.38,25420.6,16946.1,16946.1,30099
62,0,70.4822,49.6357,49.6357,100.188,78.3031,78.3031,102.032,5803.82,7594.03,7594.03,25422.7,15869.9,15869.9,28705.2
63,0,70.4822,49.8493,49.8493,100.188,82.0181,82.0181,106.649,5803.82,7601.31,7601.31,25421.5,16923.1,16923.1,30093.4
