rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,291.156,291.134,108.169,327.196,298.281,115.321,386.318,330.744,21751.9,22728.6,34992.7,362.558,24532.2,96310.2
0,1,291.156,291.133,169.201,327.179,298.28,169.201,386.318,330.744,21751.9,14642.9,34993.1,362.558,14642.9,96310.2
0,2,291.156,291.133,178.622,327.179,298.28,178.622,386.318,330.744,21751.9,14231.2,34993.1,362.558,14231.2,96310.2
1,0,291.156,257.135,87.9939,327.196,321.329,152.188,386.94,330.744,18450.1,20065.1,35001.4,34659.5,36274.5,96426.6
1,1,291.139,257.128,192.126,327.161,321.295,192.126,386.94,330.042,18448.3,9451.33,34992.4,34650.9,9451.33,96426.6
1,2,291.138,257.128,134.127,327.161,321.295,134.127,386.94,330.042,18448.3,10362.6,34992.4,34650.9,10362.6,96426.6
2,0,291.156,256.667,87.382,327.196,320.525,151.24,386.424,330.744,18135.8,19904.3,35001.4,34296.1,36064.7,96329
2,1,291.137,256.659,136.502,327.16,320.49,136.502,386.424,327.194,18134,10376.7,34990.1,34287.5,10376.7,96329
2,2,291.137,256.66,190.864,327.16,320.49,190.864,386.424,327.194,18134,9492.99,34990.1,34287.5,9492.99,96329
3,0,291.156,255.392,87.5114,327.196,320.873,152.992,387.286,330.744,18535,20006.9,35001.4,35057.2,36529,96495.1
3,1,291.138,255.385,138.633,327.16,320.838,138.633,387.286,330.85,18533.2,10467.7,34993,35048.5,10467.7,96495.1
3,2,291.138,255.385,185.644,327.16,320.838,185.644,387.286,330.85,18533.2,9656.39,34993,35048.5,9656.39,96495.1
4,0,291.156,263.394,91.6807,327.196,322.562,150.849,390.351,330.744,19200.9,21008.9,35000.3,33954.6,35762.6,97116.5
4,1,291.139,263.391,190.2,327.163,322.532,190.2,390.351,328.395,19200.2,9614.18,34990.2,33947,9614.18,97116.5
4,2,291.139,263.391,142.529,327.163,322.532,142.529,390.351,328.395,19200.2,10487.9,34990.2,33947,10487.9,97116.5
5,0,291.156,261.121,93.7718,327.196,322.532,155.183,390.247,330.744,18840.4,20498.6,35000.7,34161.8,35820,97095.7
5,1,291.139,261.116,186.544,327.162,322.5,186.544,390.247,329.29,18839.3,9703.84,34991.2,34153.9,9703.84,97095.7
5,2,291.139,261.116,141.942,327.162,322.5,141.942,390.247,329.29,18839.3,10456.6,34991.2,34153.9,10456.6,97095.7
6,0,291.156,258.268,88.0632,327.196,322.136,151.931,390.03,330.744,18499.4,20177.3,35000.7,34494.1,36172,97051.9
6,1,291.138,258.263,190.569,327.161,322.104,190.569,390.03,329.479,18498.4,9585.61,34991.4,34486.2,9585.61,97051.9
6,2,291.138,258.263,139.01,327.161,322.104,139.01,390.03,329.479,18498.4,10392.1,34991.4,34486.2,10392.1,97051.9
7,0,291.156,254.72,86.7337,327.196,320.526,152.539,386.471,330.744,18208.3,19836.3,35001.9,34849.7,36477.7,96337.7
7,1,291.135,254.711,137.115,327.158,320.489,137.115,386.471,326.673,18206,10182.4,34989,34840.5,10182.4,96337.7
7,2,291.136,254.711,187.142,327.158,320.489,187.142,386.471,326.673,18206,9400.83,34989,34840.5,9400.83,96337.7
8,0,291.156,255.105,87.1843,327.196,321.202,153.282,387.03,330.744,17950.4,19643.8,35001.7,34648.5,36341.9,96444.2
8,1,291.136,255.096,189.413,327.159,321.166,189.413,387.03,327.33,17948.3,9371.04,34990,34639.6,9371.04,96444.2
8,2,291.136,255.096,135.623,327.159,321.166,135.623,387.03,327.531,17948.5,10432.9,34990.2,34639.8,10432.9,96444.2
9,0,291.156,256.413,88.2062,327.196,321.065,152.858,386.69,330.744,18329.9,19973.1,35001.4,34717.2,36360.4,96378.5
9,1,291.138,256.406,135.437,327.16,321.03,135.437,386.69,326.584,18328.1,10224,34988.7,34708.5,10224,96378.5
9,2,291.138,256.406,189.669,327.16,321.03,189.669,386.69,326.584,18328.1,9365.08,34988.7,34708.5,9365.08,96378.5
10,0,291.156,258.888,93.0269,327.196,321.338,155.477,387.451,330.744,18859,20467.2,35001.1,34591.5,36199.7,96528.7
10,1,291.137,258.882,138.178,327.16,321.305,138.178,387.451,328.327,18857.5,10330.4,34990.9,34583.1,10330.4,96528.7
10,2,291.137,258.882,185.533,327.16,321.305,185.533,387.451,328.327,18857.5,9643.25,34990.9,34583.1,9643.25,96528.7
