rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,5.41103,5.02904,5.02904,16.4355,10.4265,10.4265,12.8794,743.346,701.25,701.25,2586.07,2031.57,2031.57,3222.58
15,0,5.41103,4.95435,4.95435,16.4352,10.5891,10.5891,12.9552,743.346,650.744,650.744,2586.9,2040.48,2040.48,3241.13
44,0,5.41103,5.04834,5.04834,16.4352,10.6273,10.6273,12.9964,743.346,677.344,677.344,2586.47,2053.54,2053.54,3251.13
8,0,5.41103,5.06221,5.06221,16.4351,10.6059,10.6059,12.9697,743.346,671.518,671.518,2586.07,2038.73,2038.73,3244.59
1,0,5.41103,5.06382,5.06382,16.4352,10.5508,10.5508,12.9201,743.346,703.581,703.581,2586.07,2061.74,2061.74,3232.48
22,0,5.41103,5.29192,5.29192,16.4355,11.3912,11.3912,13.7454,743.346,759.999,759.999,2585.66,2269.16,2269.16,3439.1
60,0,5.41103,4.90346,4.90346,16.4351,10.6566,10.6566,13.0062,743.346,673.896,673.896,2588.34,2091.23,2091.23,3253.53
42,0,5.41103,5.34786,5.34786,16.4355,13.0912,13.0912,15.458,743.346,785.724,785.724,2585.15,2706.87,2706.87,3871.11
38,0,5.41103,5.35022,5.35022,16.4355,14.3935,14.3935,16.7528,743.346,748.87,748.87,2585.15,3002.83,3002.83,4196.39
37,0,5.41103,5.35098,5.35098,16.4355,13.9885,13.9885,16.3565,743.346,765.951,765.951,2585.15,2908.82,2908.82,4096.69
31,0,5.41103,5.10992,5.10992,16.4355,14.2727,14.2727,16.6756,743.346,704.954,704.954,2585.66,2981.48,2981.48,4176.63
24,0,5.41103,5.22591,5.22591,16.4355,12.4061,12.4061,14.7945,743.346,731.576,731.576,2585.15,2516.5,2516.5,3703.8
9,0,5.41103,5.17908,5.17908,16.4354,11.5034,11.5034,13.8644,743.346,733.383,733.383,2585.66,2295.42,2295.42,3468.75
47,0,5.41103,5.0897,5.0897,16.4355,12.7687,12.7687,15.1737,743.346,716.962,716.962,2586.07,2632.19,2632.19,3799.27
20,0,5.41103,5.2384,5.2384,16.4352,16.2538,16.2538,18.6466,743.346,710.605,710.605,2585.66,3463.27,3463.27,4670.79
2,0,5.41103,5.06089,5.06089,16.4355,11.5873,11.5873,13.9545,743.346,717.055,717.055,2586.07,2325.92,2325.92,3491.12
11,0,5.41103,5.13984,5.13984,16.4355,12.544,12.544,14.9425,743.346,683.087,683.087,2585.66,2527.41,2527.41,3741.24
