rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,72.8637,72.6918,26.4033,85.1112,75.5474,29.2596,96.6813,89.2356,5996.24,6203.75,10308.5,937.23,7021.18,27081.2
11,0,72.8637,64.6055,22.2497,85.1111,82.7677,40.4119,98.9636,89.2356,5097.56,5651.12,10321.5,10164.8,10718.4,27603
25,0,72.8637,63.2534,21.8134,85.1112,83.1269,41.6869,99.2575,89.2356,4972.28,5563.87,10323.6,10499.4,11091,27670.6
9,0,72.8637,62.7051,21.2599,85.1111,81.2438,39.7987,96.7782,89.2356,4815.34,5376.93,10323.2,10138.7,10700.3,27100.5
1,0,72.8637,63.3076,21.9584,85.1111,81.6762,40.3269,97.2904,89.2356,4863.15,5428.83,10322.9,10088,10653.7,27213.6
20,0,72.8637,62.7624,22.0523,85.1111,82.3851,41.6749,98.4392,89.2356,4762.26,5360.32,10322.9,10299.8,10897.8,27482
2,0,72.8637,63.3309,21.1779,85.1112,81.0784,38.9253,96.7984,89.2356,4830.81,5389.66,10322.7,9924.17,10483,27104.6
5,0,72.8637,63.7546,22.2574,85.1112,83.7366,42.2394,99.8789,89.2356,5010.31,5635.68,10322.2,10540.3,11165.7,27813.3
12,0,72.8637,64.1906,22.7609,85.1111,83.5666,42.1369,99.6844,89.2356,5036.69,5645.51,10321.7,10422.5,11031.3,27768.5
23,0,72.8637,62.8392,21.3219,85.1112,81.2744,39.7572,96.8742,89.2356,4828.05,5386.98,10324,10075.3,10634.3,27120.4
10,0,72.8637,63.3624,22.5196,85.1112,81.3885,40.5457,97.0994,89.2356,4965.34,5518.45,10322.7,10114.9,10668,27169.7
19,0,72.8637,61.8672,22.0266,85.1113,83.7942,43.9535,99.7381,89.2356,4907.66,5445.42,10324,11029.9,11567.7,27781
3,0,72.8637,58.5973,20.8525,85.1111,82.191,44.4462,97.175,89.2356,4636.19,5158.86,10326.4,11344.2,11866.9,27186.9
15,0,72.8637,62.0089,20.9698,85.1113,81.4294,40.3904,96.8978,89.2356,4727.82,5335.56,10324.1,10288.9,10896.7,27125.4
26,0,72.8637,63.3429,21.6875,85.1113,83.7374,42.082,99.9252,89.2356,4880.91,5413.1,10322.7,10521.8,11054,27823.9
22,0,72.8637,62.8911,22.0871,85.1112,81.525,40.721,97.0544,89.2356,4906.76,5437.34,10323.2,10232.1,10762.7,27159.4
18,0,72.8637,62.2028,21.3814,85.1113,82.8906,42.0692,98.9913,89.2356,4937.97,5399.17,10323.6,10741.7,11202.9,27609.2
24,0,72.8637,62.7896,21.1241,85.1113,81.4663,39.8007,97.1398,89.2356,4762.74,5300.29,10323.6,10070.6,10608.1,27178.8
8,0,72.8637,59.5813,20.9396,85.1112,81.792,43.1502,96.9583,89.2356,4607.37,5128.46,10326.2,10943.4,11464.5,27138.5
6,0,72.8637,60.4627,21.0006,85.1112,82.9776,43.5156,98.6406,89.2356,4744.8,5220.79,10324.6,11092.6,11568.6,27528.5
21,0,72.8637,60.9258,20.5959,85.1112,81.2892,40.9593,96.6937,89.2356,4676.88,5281.31,10325,10509.7,11114.1,27083.7
7,0,72.8637,61.475,21.0692,85.1113,80.9151,40.5093,96.5457,89.2356,4760.62,5338.05,10324.3,10354.9,10932.4,27056.2
16,0,72.8637,61.449,20.9024,85.1112,81.4465,40.8999,96.7545,89.2356,4891.4,5441.13,10324.1,10615.2,11164.9,27095.7
14,1,72.8436,60.7839,43.7226,85.054,81.2007,43.7226,96.6252,81.3349,4750.54,2252.43,10310.9,10631.8,2252.43,27070.8
17,1,72.8466,61.8717,34.219,85.0563,81.3396,34.219,96.8859,81.9728,4796.98,2620.35,10311.1,10381.7,2620.35,27122.8
13,1,72.8531,65.3811,36.0854,85.0638,82.3251,36.0854,98.4553,79.5782,5184.99,2717.53,10308,9930.01,2717.53,27485.9
4,1,72.8522,64.3715,45.8373,85.0625,83.2466,45.8373,99.3625,81.1092,5106.01,2458.93,10309.4,10371.8,2458.93,27694.7
11,1,72.8532,64.6053,36.4922,85.063,82.7225,36.4922,98.9636,78.6423,5097.56,2730.69,10306.9,10151.5,2730.69,27603
25,1,72.8481,63.2531,45.0636,85.0563,83.0749,45.0636,99.2575,79.3075,4972.28,2449.21,10308.1,10484,2449.21,27670.6
9,1,72.8492,62.7049,35.3092,85.0587,81.1928,35.3092,96.7782,79.2015,4815.34,2657.53,10307.6,10123.6,2657.53,27100.5
1,1,72.8491,63.3075,44.5909,85.0586,81.6256,44.5909,97.2904,81.0115,4863.15,2427.28,10309.2,10073.3,2427.28,27213.6
19,1,72.8454,61.867,34.4294,85.0551,83.7405,34.4294,99.7381,81.3798,4907.66,2568.1,10310.3,11014.1,2568.1,27781
20,1,72.8486,62.7622,35.8519,85.0582,82.335,35.8519,98.4392,80.7786,4761.99,2626.4,10309.9,10285.1,2626.4,27482
2,1,72.8498,63.3307,46.2141,85.0595,81.0285,46.2141,96.7984,78.5376,4830.81,2418.04,10306.9,9909.7,2418.04,27104.6
5,1,72.8506,63.7544,35.3812,85.0605,83.6887,35.3812,99.8789,81.8698,5010.31,2734.21,10310,10526.3,2734.21,27813.3
12,1,72.8515,64.1905,49.101,85.0618,83.5206,49.101,99.6844,79.4626,5036.69,2372.71,10307.8,10409,2372.71,27768.5
3,1,72.8389,58.5963,31.7931,85.0484,82.1284,31.7931,97.175,76.4209,4635.99,2397.67,10304.6,11326,2397.67,27186.9
10,1,72.8495,63.3622,44.8358,85.0599,81.3391,44.8358,97.0994,78.9387,4965.34,2388.87,10307.8,10100.4,2388.87,27169.7
23,1,72.8475,62.8388,35.3957,85.0558,81.2205,35.3957,96.8742,78.1015,4828.05,2633.56,10306.4,10059.6,2633.56,27120.4
0,1,72.8634,72.6916,41.2906,85.0731,75.5469,41.2906,96.6813,89.2356,5996.24,3675.38,10317.6,936.961,3675.38,27081.2
15,1,72.8452,62.0086,34.3601,85.0549,81.3743,34.3601,96.8978,77.4822,4727.56,2601.6,10306.2,10272.8,2601.6,27125.4
26,1,72.8499,63.3428,35.8857,85.058,83.6877,35.8857,99.9252,78.1542,4880.64,2764.89,10306.7,10507.3,2764.89,27823.9
22,1,72.8477,62.8908,34.9465,85.0581,81.4737,34.9465,97.0544,79.4584,4906.76,2640.31,10308.4,10217.1,2640.31,27159.4
18,1,72.8468,62.2026,34.6517,85.0562,82.8383,34.6517,98.9913,78.1692,4937.7,2657.53,10307,10726.3,2657.53,27609.2
24,1,72.8485,62.7893,36.2942,85.0565,81.4132,36.2942,97.1398,79.4052,4762.74,2651.24,10307.7,10055.2,2651.24,27178.8
