rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,157.133,136.348,136.348,199.652,179.101,179.101,222.064,12032.4,20995.6,20995.6,51648.2,33477.6,33477.6,57690.8
1,0,157.133,76.322,76.322,199.652,186.439,186.439,222.238,12032.4,10975.3,10975.3,51650.6,40375.3,40375.3,57733.3
2,0,157.133,107.051,107.051,199.652,170.582,170.582,222.211,12032.4,15082.6,15082.6,51651.8,33079.8,33079.8,57726.4
3,0,157.133,103.153,103.153,199.652,173.06,173.06,222.513,12032.4,13976,13976,51652.5,33535.2,33535.2,57804.5
4,0,157.133,78.4875,78.4875,199.652,186.555,186.555,223.343,12032.4,11177.8,11177.8,51650.6,40010.5,40010.5,58022.9
5,0,157.133,107.717,107.717,199.652,172.356,172.356,223.025,12032.4,15342.3,15342.3,51651.4,33545.3,33545.3,57940.2
6,0,157.133,108.125,108.125,199.652,174.055,174.055,223.746,12032.4,15308.6,15308.6,51652.1,33845.1,33845.1,58127.1
7,0,157.133,107.803,107.803,199.652,172.077,172.077,223.907,12032.4,15133.7,15133.7,51651.8,33313.4,33313.4,58169.5
8,0,157.133,105.584,105.584,199.652,172.315,172.315,222.009,12032.4,14579.6,14579.6,51652.1,33378.6,33378.6,57678.4
9,0,157.133,107.734,107.734,199.652,172.639,172.639,222.317,12032.4,15263.1,15263.1,51652.1,33579.5,33579.5,57753.6
10,0,157.133,107.873,107.873,199.652,172.317,172.317,222.153,12032.4,15316.3,15316.3,51652.1,33543.3,33543.3,57711.7
11,0,157.133,106.613,106.613,199.652,171.225,171.225,222.472,12032.4,14844.4,14844.4,51651.8,33120.4,33120.4,57793.5
12,0,157.133,105.667,105.667,199.652,171.379,171.379,223.154,12032.4,14546.5,14546.5,51651.8,33129.7,33129.7,57973.8
13,0,157.133,107.167,107.167,199.652,172.124,172.124,223.515,12032.4,14933.1,14933.1,51651.8,33238.9,33238.9,58067.4
14,0,157.133,107.204,107.204,199.652,171.805,171.805,223.442,12032.4,15011.9,15011.9,51651.4,33307.6,33307.6,58048.5
15,0,157.133,108.85,108.85,199.652,169.762,169.762,223.535,12032.4,15304.3,15304.3,51652.5,31540,31540,58072.8
16,0,157.133,77.1772,77.1772,199.652,186.383,186.383,221.998,12032.4,10904.4,10904.4,51651,40117.8,40117.8,57676.1
