rank,thr,uc_ct,uc_pt,uc_tt,ooc_ct,ooc_pt,ooc_tt,total_runtime,uc_ce,uc_pe,uc_te,ooc_ce,ooc_pe,ooc_te,total_energy
0,0,82.6678,80.1139,28.3552,85.8862,83.0174,31.2588,89.2321,1820.98,1744.88,2006.32,3627.08,2478.96,2740.4,24101
0,1,82.6598,80.1133,39.4972,85.875,83.0142,39.4972,89.2321,1822.37,1744.88,870.909,3628.76,2478.21,870.909,24101
0,2,82.6598,80.1132,38.0229,85.875,83.0141,38.0229,89.2321,1822.37,1744.88,870.158,3628.76,2478.21,870.158,24101
0,3,82.6598,80.1132,30.6293,85.8749,83.0141,30.6293,89.2321,1822.37,1744.88,865.629,3628.76,2478.21,865.629,24101
0,4,82.66,80.1135,38.2772,85.8752,83.0144,38.2772,89.2321,1822.37,1744.88,874.749,3628.76,2478.21,874.749,24101
0,5,82.6602,80.1136,42.0283,85.8754,83.0145,42.0283,89.2321,1822.37,1744.88,905.436,3628.76,2478.21,905.436,24101
0,6,82.6601,80.1136,42.9241,85.8753,83.0145,42.9241,89.2321,1822.37,1744.88,863.758,3628.76,2478.21,863.758,24101
0,7,82.6599,80.1133,34.5564,85.8751,83.0142,34.5564,89.2321,1822.37,1744.88,872.549,3628.76,2478.21,872.549,24101
0,8,82.6599,80.1133,40.5763,85.8751,83.0142,40.5763,89.2321,1822.37,1744.88,891.931,3628.76,2478.21,891.931,24101
0,9,82.6601,80.1135,41.8916,85.8753,83.0144,41.8916,89.2321,1822.37,1744.88,909.9,3628.76,2478.21,909.9,24101
0,10,82.6602,80.1137,40.6922,85.8754,83.0146,40.6922,89.2321,1822.37,1744.88,881.411,3628.76,2478.21,881.411,24101
0,11,82.66,80.1134,38.0385,85.8752,83.0143,38.0385,89.2321,1822.37,1744.88,869.732,3628.76,2478.21,869.732,24101
1,0,82.6678,74.9685,30.2833,85.8862,85.068,40.3838,89.8122,1820.98,1624.2,1744.19,3635.63,4367.15,4487.13,24204.9
1,1,82.6381,74.9683,38.0305,85.8532,85.0358,38.0305,89.8122,1820.91,1624.2,794.651,3627.55,4357.85,794.651,24204.9
1,2,82.6378,74.968,35.9587,85.8528,85.0354,35.9587,89.8122,1820.91,1624.2,775.15,3627.55,4357.85,775.15,24204.9
1,3,82.6382,74.9684,37.8782,85.8532,85.0358,37.8782,89.8122,1820.91,1624.2,753.008,3627.55,4357.85,753.008,24204.9
1,4,82.6377,74.9679,27.4095,85.8528,85.0354,27.4095,89.8122,1820.91,1624.2,819.168,3627.55,4357.85,819.168,24204.9
1,5,82.6382,74.9684,38.7049,85.8533,85.0359,38.7049,89.8122,1820.91,1624.2,765.745,3627.55,4357.85,765.745,24204.9
1,6,82.6378,74.968,40.6958,85.8529,85.0355,40.6958,89.8122,1820.91,1624.2,765.236,3627.55,4357.85,765.236,24204.9
1,7,82.6381,74.9683,40.0185,85.8531,85.0357,40.0185,89.8122,1820.91,1624.2,776.802,3627.55,4357.85,776.802,24204.9
1,8,82.6379,74.9682,34.6929,85.853,85.0356,34.6929,89.8122,1820.91,1624.2,748.002,3627.55,4357.85,748.002,24204.9
1,9,82.6378,74.968,38.8079,85.8529,85.0355,38.8079,89.8122,1820.91,1624.2,765.612,3627.55,4357.85,765.612,24204.9
1,10,82.6379,74.9681,32.6311,85.853,85.0355,32.6311,89.8122,1820.91,1624.2,780.634,3627.55,4357.85,780.634,24204.9
1,11,82.638,74.9682,39.7608,85.853,85.0356,39.7608,89.8122,1820.91,1624.2,753.349,3627.55,4357.85,753.349,24204.9
2,0,82.6678,76.1259,29.1058,85.8862,84.7365,37.7173,89.5896,1820.98,1631.81,1840.04,3634.23,3975.62,4183.67,24164.7
2,1,82.6426,76.1257,36.7747,85.8576,84.7091,36.7747,89.5896,1823.63,1631.81,788.521,3630.27,3967.72,788.521,24164.7
2,2,82.6422,76.1254,38.6395,85.8573,84.7088,38.6395,89.5896,1823.63,1631.81,789.973,3630.27,3967.72,789.973,24164.7
2,3,82.6424,76.1256,27.8294,85.8575,84.709,27.8294,89.5896,1823.63,1631.81,859.124,3630.27,3967.72,859.124,24164.7
2,4,82.6426,76.1258,38.0439,85.8577,84.7092,38.0439,89.5896,1823.63,1631.81,791.106,3630.27,3967.72,791.106,24164.7
2,5,82.6422,76.1253,41.2384,85.8572,84.7087,41.2384,89.5896,1823.63,1631.81,755.725,3630.27,3967.72,755.725,24164.7
2,6,82.6423,76.1254,40.3343,85.8573,84.7088,40.3343,89.5896,1823.63,1631.81,785.055,3630.27,3967.72,785.055,24164.7
2,7,82.6424,76.1255,34.119,85.8574,84.7089,34.119,89.5896,1823.63,1631.81,833.863,3630.27,3967.72,833.863,24164.7
2,8,82.6425,76.1256,39.3557,85.8575,84.709,39.3557,89.5896,1823.63,1631.81,789.476,3630.27,3967.72,789.476,24164.7
2,9,82.6427,76.1258,36.4628,85.8578,84.7092,36.4628,89.5896,1823.63,1631.81,783.384,3630.27,3967.72,783.384,24164.7
2,10,82.6425,76.1256,39.3398,85.8576,84.7091,39.3398,89.5896,1823.63,1631.81,790.588,3630.27,3967.72,790.588,24164.7
2,11,82.6423,76.1254,40.5054,85.8574,84.7089,40.5054,89.5896,1823.63,1631.81,790.044,3630.27,3967.72,790.044,24164.7
3,0,82.6678,69.9552,30.0411,85.8862,85.7065,45.7924,90.3075,1820.98,1576.3,1715.52,3642.05,5828.11,5967.33,24294.7
3,1,82.6153,69.9548,35.4327,85.8302,85.6505,35.4327,90.3075,1819.95,1576.3,694.516,3626.33,5812.4,694.516,24294.7
3,2,82.6152,69.9547,33.3056,85.8301,85.6504,33.3056,90.3075,1819.95,1576.3,720.037,3626.33,5812.4,720.037,24294.7
3,3,82.615,69.9545,23.3747,85.83,85.6502,23.3747,90.3075,1819.95,1576.3,742.251,3626.33,5812.4,742.251,24294.7
3,4,82.6151,69.9546,32.8622,85.8301,85.6503,32.8622,90.3075,1819.95,1576.3,724.281,3626.33,5812.4,724.281,24294.7
3,5,82.6155,69.955,37.1104,85.8304,85.6507,37.1104,90.3075,1819.95,1576.3,701.546,3626.33,5812.4,701.546,24294.7
3,6,82.6153,69.9549,36.0703,85.8303,85.6506,36.0703,90.3075,1819.95,1576.3,718.33,3626.33,5812.4,718.33,24294.7
3,7,82.6152,69.9548,37.8194,85.8302,85.6505,37.8194,90.3075,1819.95,1576.3,716.093,3626.33,5812.4,716.093,24294.7
3,8,82.6152,69.9547,37.2318,85.8302,85.6504,37.2318,90.3075,1819.95,1576.3,708.724,3626.33,5812.4,708.724,24294.7
3,9,82.6154,69.9549,35.8059,85.8303,85.6506,35.8059,90.3075,1819.95,1576.3,709.199,3626.33,5812.4,709.199,24294.7
3,10,82.6154,69.955,30.6539,85.8304,85.6507,30.6539,90.3075,1819.95,1576.3,727.241,3626.33,5812.4,727.241,24294.7
3,11,82.615,69.9546,35.046,85.83,85.6503,35.046,90.3075,1819.95,1576.3,713.688,3626.33,5812.4,713.688,24294.7
4,0,82.6678,81.6602,31.1647,85.8862,84.4951,33.9996,89.7916,1820.98,1743.64,1903.85,3627.08,2389.6,2549.82,24201
